phon	members
esufle	essouffler essoufflé essoufflée essoufflées essoufflés
es8ije	essuyer essuyé essuyée essuyées essuyés
Est§pe	estomper estompé estompée estompées estompés
EstuRbi	estourbi estourbie estourbies estourbis estourbit
EstRopje	estropier estropiez estropié estropiée estropiés
EgzasERbe	exacerber exacerbé exacerbée exacerbées exacerbés
Egzalte	exalter exalté exaltée exaltées exaltés
EksEpte	excepter excepté exceptée exceptées exceptés
Ekskomynje	excommunier excommuniez excommunié excommuniée excommuniés
Eksede	excéder excédé excédée excédées excédés
Egzyme	exhumer exhumé exhumée exhumées exhumés
Egzil	exil exile exilent exiles exils
Egziste	exister existez existé existée existés
EkspiRe	expirer expirez expiré expirée expirés
EkspRopRije	exproprier exproprié expropriée expropriées expropriés
EkstiRpe	extirper extirpé extirpée extirpées extirpés
EkstRas@soRjEl	extra-sensoriel extra-sensorielle extrasensoriel extrasensorielle extrasensoriels
EkstRapole	extrapoler extrapolez extrapolé extrapolée extrapolées
Eksten8e	exténuer exténué exténuée exténuées exténués
EgzekRe	exécrer exécré exécrée exécrées exécrés
yt	eûtes hutte huttes uht ut
fas	face faces fasse fassent fasses
fagote	fagoter fagoté fagotée fagotées fagotés
faji	failli faillie faillies faillis faillit
fER	faire fer ferre fers fère
f°z@de	faisander faisandé faisandée faisandées faisandés
familjaRize	familiariser familiarisez familiarisé familiarisée familiarisés
fan	fan fane fanent fanes fans
f@tasm	fantasme fantasment fantasmes phantasme phantasmes
faRde	farder fardé fardée fardées fardés
fofilE	faufilai faufilaient faufilais faufilait faux-filet
fasone	façonner façonné façonnée façonnées façonnés
f@dije	fendiller fendillé fendillée fendillées fendillés
fERm@te	fermenter fermenté fermentée fermentées fermentés
fERtilize	fertiliser fertilisez fertilisé fertilisée fertilisés
fEstone	festonner festonné festonnée festonnées festonnés
f2tRe	feutrer feutré feutrée feutrées feutrés
fje	fier fiez fié fiée fiés
fil	fil file filent files fils
film	film filme filment filmes films
filtR	filtre filtrent filtres philtre philtres
fin@se	financer financez financé financée financés
fisyRe	fissurer fissuré fissurée fissurées fissurés
flaZolE	flageolai flageolaient flageolait flageolet flageolets
fl9RE	fleuraient fleurais fleurait fleuret fleurets
fl9Ri	fleuri fleurie fleuries fleuris fleurit
fl5ge	flinguer flinguez flingué flinguée flingués
flip	flip flippe flippent flippes flips
fl9Rt	flirt flirte flirtent flirtes flirts
fleSe	flécher fléché fléchée fléchées fléchés
fleSi	fléchi fléchie fléchies fléchis fléchit
foRe	forer forez foré forée forés
fORZe	forger forgé forgée forgées forgés
fORmalize	formaliser formalisez formalisé formalisée formalisés
fudRwaje	foudroyer foudroyé foudroyée foudroyées foudroyés
fwete	fouetter fouetté fouettée fouettées fouettés
ful	foule foulent foules full fulls
fule	fouler foulé foulée foulées foulés
fuRvwaje	fourvoyer fourvoyé fourvoyée fourvoyées fourvoyés
fRaktyRe	fracturer fracturé fracturée fracturées fracturés
fRagm@te	fragmenter fragmenté fragmentée fragmentées fragmentés
fREn	freine freinent freines frêne frênes
fRene	freiner freiné freinée freinées freinés
fRigoRifje	frigorifier frigorifié frigorifiée frigorifiées frigorifiés
fRipe	friper fripé fripée fripées fripés
fRizote	frisotter frisotté frisottée frisottées frisottés
fR8ite	fruiter fruité fruitée fruitées fruités
fRystRe	frustrer frustré frustrée frustrées frustrés
fystiZe	fustiger fustigez fustigé fustigée fustigés
fedeRe	fédérer fédéré fédérée fédérées fédérés
felisite	féliciter félicitez félicité félicitée félicités
gafe	gaffer gaffez gaffé gaffée gaffés
gal	gal gale gales galle galles
galbe	galber galbé galbée galbées galbés
galvanize	galvaniser galvanisé galvanisée galvanisées galvanisés
g@gR°ne	gangrener gangrené gangrenée gangrenées gangrenés
gaRni	garni garnie garnies garnis garnit
gol	gaule gaules gaulle goal goals
ZEl	gel gels gèle gèlent gèles
ZERbe	gerber gerbé gerbée gerbées gerbés
ZERse	gercer gercé gercée gercées gercés
Zikle	gicler giclez giclé giclée giclées
ZivRe	givrer givré givrée givrées givrés
glas	glace glacent glaces glass glasses
gloRifje	glorifier glorifiez glorifié glorifiées glorifiés
gobE	gobaient gobais gobait gobet gobets
gw5fRe	goinfrer goinfrez goinfré goinfrée goinfrés
gomine	gominer gominé gominée gominées gominés
gome	gommer gommé gommée gommées gommés
g§dole	gondoler gondolé gondolée gondolées gondolés
gORZE	gorgeai gorgeaient gorgeais gorgeait gorget
gutE	gouttait goûtai goûtaient goûtais goûtait
gut	goutte gouttes goûte goûtent goûtes
guvERne	gouverner gouvernez gouverné gouvernée gouvernés
gRasje	gracier graciez gracié graciée graciés
gRad8e	graduer gradué graduée graduées gradués
gREse	graissez graissé graissée graissées graissés
gR@di	grandi grandie grandis grandit grandît
gRatifje	gratifier gratifiez gratifié gratifiée gratifiés
gRatine	gratiner gratiné gratinée gratinées gratinés
gRavi	gravi gravie gravies gravis gravit
gRefe	greffer greffé greffée greffées greffés
gRife	griffer griffé griffée griffées griffés
gRiNote	grignoter grignoté grignotée grignotées grignotés
gRijaZe	grillagez grillagé grillagée grillagées grillagés
gRime	grimer grimé grimée grimées grimés
gRize	griser grisé grisée grisées grisés
gR§de	gronder grondez grondé grondée grondés
gRosi	grossi grossie grossies grossis grossit
gRup	group groupe groupent groupes groups
gRee	gréer gréez gréé gréée gréées
gRele	grêler grêlé grêlée grêlées grêlés
g9le	gueuler gueulez gueulé gueulée gueulés
gijotine	guillotiner guillotiné guillotinée guillotinées guillotinés
g5de	guinder guindé guindée guindées guindés
ZEn	gène gènes gêne gênent gênes
ZeneRalize	généraliser généralisez généralisé généralisée généralisées
ZeneRe	générer générez généré générée générés
abit8e	habituer habitué habituée habituées habitués
@dikape	handicaper handicapé handicapée handicapées handicapés
ape	happer happé happée happées happés
aR@ge	haranguer haranguez harangué haranguée harangués
aRase	harasser harassé harassée harassées harassés
aRnaSe	harnacher harnaché harnachée harnachées harnachés
om	heaume heaumes home homes ohms
Ospitalize	hospitaliser hospitalisé hospitalisée hospitalisées hospitalisés
uspije	houspiller houspillé houspillée houspillées houspillés
8e	huer hué huée huées hués
ymanize	humaniser humanisé humanisée humanisées humanisés
ymEkte	humecter humecté humectée humectées humectés
yme	humer humez humé humée humés
ipnotize	hypnotiser hypnotisé hypnotisée hypnotisées hypnotisés
eRise	hérisser hérissé hérissée hérissées hérissés
idealize	idéaliser idéalisé idéalisée idéalisées idéalisés
iNifyZe	ignifuger ignifugé ignifugée ignifugées ignifugés
ilystRe	illustrer illustré illustrée illustrées illustrés
imaZe	imager imagé imagée imagées imagés
5bibe	imbiber imbibé imbibée imbibées imbibés
5bRike	imbriquer imbriqué imbriquée imbriquées imbriqués
imigRe	immigrer immigré immigrée immigrées immigrés
5pasj@te	impatienter impatientez impatienté impatientée impatientés
5pORte	importer importé importée importées importés
5pORtyne	importuner importunez importuné importunée importunés
5pResjone	impressionner impressionné impressionnée impressionnées impressionnés
5pyte	imputer imputé imputée imputées imputés
5sineRe	incinérer incinérez incinéré incinérée incinérés
5site	inciter incitez incité incitée incités
5kylpe	inculper inculpez inculpé inculpée inculpés
5kylke	inculquer inculqué inculquée inculquées inculqués
5kyRve	incurver incurvé incurvée incurvées incurvés
5diNe	indigner indigné indignée indignées indignés
5fEkt	infect infecte infectent infectes infects
5fEste	infester infesté infestée infestées infestés
5fORmatize	informatiser informatisé informatisée informatisées informatisés
5gyRZite	ingurgiter ingurgité ingurgitée ingurgitées ingurgités
5ZeRe	ingérer ingéré ingérée ingérées ingérés
inisjalize	initialiser initialisez initialisé initialisée initialisés
5ZEkte	injecter injectez injecté injectée injectés
5sonoRize	insonoriser insonorisé insonorisée insonorisées insonorisés
5stoRe	instaurer instauré instaurée instaurées instaurés
5stit8e	instituer institué instituée instituées institués
5t@sifje	intensifier intensifiez intensifié intensifiée intensifiées
5t@te	intenter intenté intentée intentées intentés
5tERkale	intercaler intercalé intercalée intercalées intercalés
5tityle	intituler intitulé intitulée intitulées intitulés
5tOksike	intoxiquer intoxiqué intoxiquée intoxiquées intoxiqués
5tRige	intriguer intriguez intrigué intriguée intrigués
iRize	iriser irisé irisée irisées irisés
iRige	irriguer irrigué irriguée irriguées irrigués
ZoZe	jauger jaugez jaugé jaugée jaugés
Zoni	jauni jaunie jaunies jaunis jaunit
Z§Se	joncher jonché jonchée jonchées jonchés
Zu	joue jouent joues joug jougs
Zwe	jouer joué jouée jouées joués
ZySe	jucher juché juchée juchées juchés
Zym°le	jumeler jumelé jumelée jumelées jumelés
kEt	ket quette quête quêtent quêtes
kit	kit kits quitte quittent quittes
labuRe	labourer labouré labourée labourées labourés
lak	lac lack lacs laque laques
las	lace lacent lasse lassent lasses
laseRe	lacérer lacéré lacérée lacérées lacérés
lese	laisser laissé laissée laissées laissés
lame	lamer lamé lamée lamées lamés
lamine	laminer laminé laminée laminées laminés
l@pe	lamper lampez lampé lampée lampées
lape	laper lapper lappé lapé lapées
lapide	lapider lapidez lapidé lapidée lapidés
lake	laquer laqué laquée laquées laqués
lES	laîche laîches lèche lèchent lèches
l9R	leur leurre leurrent leurres leurs
lj2	lieu lieue lieues lieus lieux
lige	liguer liguez ligué liguées ligués
likefje	liquéfier liquéfié liquéfiée liquéfiées liquéfiés
l§Ze	longer longez longé longée longés
lORNe	lorgner lorgnez lorgné lorgnées lorgnés
luSE	louchai louchaient louchais louchait louchet
lu	loue louent loues loup loups
lwe	louer loué louée louées loués
luRde	lourder lourdé lourdée lourdées lourdés
love	lover lové lovée lovées lovés
lybRifje	lubrifier lubrifié lubrifiée lubrifiées lubrifiés
lystRe	lustrer lustré lustrée lustrées lustrés
lyt	luth luths lutte luttent luttes
l5Se	lyncher lynchez lynché lynchée lynchés
leze	léser lésé lésée lésées lésés
lezaRde	lézarder lézardé lézardée lézardées lézardés
maSine	machiner machiné machinée machinées machinés
makyle	maculer maculé maculée maculées maculés
maltRete	maltraiter maltraité maltraitée maltraitées maltraités
mami	mamie mamies mammy mamy mamys
m@date	mandater mandatez mandaté mandatée mandatés
m@de	mander mandez mandé mandée mendé
manykyRe	manucurer manucuré manucurée manucurées manucurés
manyfaktyRe	manufacturer manufacturé manufacturée manufacturées manufacturés
maRSe	marcher marchez marché marchées marchés
maRine	mariner mariné marinée marinées marinés
maRjOl	mariol mariole marioles mariolle mariolles
maRk	mark marks marque marquent marques
maRmone	marmonner marmonnez marmonné marmonnée marmonnés
maRtiRize	martyriser martyrisé martyrisée martyrisées martyrisés
maske	masquer masqué masquée masquées masqués
mastyRbe	masturber masturbez masturbé masturbée masturbés
mat°lase	matelasser matelassé matelassée matelassées matelassés
matine	matinée matinées mâtiné mâtinée mâtinés
matRake	matraquer matraquez matraqué matraquée matraqués
mateRjalize	matérialiser matérialisé matérialisée matérialisées matérialisés
masone	maçonner maçonné maçonnée maçonnées maçonnés
mEtR	maître maîtres mettre mètre mètres
metRize	maîtriser maîtrisé maîtrisée maîtrisées maîtrisés
m@dje	mendier mendiez mendié mendiée mendiées
m°note	menotter menottez menotté menottée menottés
m9ble	meubler meublé meublée meublées meublés
m9R	meure meurent meures meurs meurt
m9RtRi	meurtri meurtrie meurtries meurtris meurtrit
miZote	mijoter mijotez mijoté mijotées mijotés
mine	miner miné minée minées minés
minjatyRize	miniaturiser miniaturisé miniaturisée miniaturisées miniaturisés
minimize	minimiser minimisez minimisé minimisée minimisées
miR	mir mire mirent mires myrrhe
mit	mite mitent mites mythe mythes
mite	miter mité mitée mitées mités
mitiZe	mitiger mitigé mitigée mitigées mitigés
mitone	mitonner mitonné mitonnée mitonnées mitonnés
modyle	moduler modulé modulée modulées modulés
mwazi	moisi moisie moisies moisis moisit
molEste	molester molestez molesté molestée molestés
momifje	momifier momifié momifiée momifiées momifiés
mORs°le	morceler morcelé morcelée morcelées morcelés
motoRize	motoriser motorisé motorisée motorisées motorisés
muSe	moucher mouchez mouché mouchée mouchés
muly	moulu moulue moulues moulus moulut
m8E	muai muaient muait muet muets
my	mue muent mues mus mû
m8e	muer mué muée muées mués
myni	muni munie munies munis munit
myskle	muscler musclé musclée musclées musclés
myz°le	museler muselé muselée muselées muselés
myte	muter muté mutée mutées mutés
mytile	mutiler mutilé mutilée mutilées mutilés
mytine	mutiner mutinez mutiné mutinée mutinés
mistifje	mystifier mystifié mystifiée mystifiées mystifiés
maSe	mâcher mâchez mâché mâchée mâchés
mekanize	mécaniser mécanisé mécanisée mécanisées mécanisés
medyze	méduser médusé médusée médusées médusés
mefje	méfier méfiez méfié méfiée méfiés
memoRize	mémoriser mémorisez mémorisée mémorisées mémorisés
mele	mêler mêlé mêlée mêlées mêlés
myRi	mûri mûrie mûries mûris mûrit
nape	napper nappé nappée nappées nappés
nasjonalize	nationaliser nationalisé nationalisée nationalisées nationalisés
nate	natter natté nattée nattées nattés
nofRaZe	naufrager naufragé naufragée naufragées naufragés
niSe	nicher niché nichée nichées nichés
nje	nier niez nié niée niés
n5be	nimber nimbé nimbée nimbées nimbés
nipe	nipper nippez nippé nippée nippées
nike	niquer niquez niqué niquée niqués
niv°le	niveler nivelé nivelée nivelées nivelés
nwa	noie noient noies noix noua
nwaRsi	noirci noircie noircies noircis noircit
notifje	notifier notifiez notifié notifiée notifiées
nwe	nouer noué nouée nouées noués
nuRis	nourrice nourrices nourrisse nourrissent nourrisses
n8@se	nuancer nuancé nuancée nuancées nuancés
nymeRize	numériser numérisez numérisé numérisée numérisées
nesesite	nécessiter nécessité nécessitée nécessitées nécessités
obliteRe	oblitérer oblitéré oblitérée oblitérées oblitérés
Obnybile	obnubiler obnubilé obnubilée obnubilées obnubilés
opsede	obséder obsédé obsédée obsédées obsédés
okazjone	occasionner occasionné occasionnée occasionnées occasionnés
OktRwaje	octroyer octroyé octroyée octroyées octroyés
ofyske	offusquer offusqué offusquée offusquées offusqués
§bRaZe	ombrager ombragé ombragée ombragées ombragés
§bRe	ombrer ombré ombrée ombrées ombrés
§dyle	onduler ondulé ondulée ondulées ondulés
ORkEstRe	orchestrer orchestré orchestrée orchestrées orchestrés
oz°RE	oserai oseraient oseraies oserais oserait
ubli	oubli oublie oublient oublies oublis
uRle	ourler ourlé ourlée ourlées ourlés
utije	outiller outillé outillée outillées outillés
utRe	outrer outré outrée outrées outrés
uvRaZe	ouvrager ouvragé ouvragée ouvragées ouvragés
uvRe	ouvrer ouvrez ouvré ouvrées ouvrés
OksiZene	oxygéner oxygéné oxygénée oxygénées oxygénés
pasifje	pacifier pacifié pacifiée pacifiées pacifiés
paks§	packson pacson pacsons paqson paxon
paj°te	pailleter pailleté pailletée pailletées pailletés
palme	palmer palmé palmée palmées palmés
palpe	palper palpez palpé palpées palpés
panike	paniquer paniquez paniqué paniquée paniqués
p@sE	pansait pensai pensaient pensais pensait
p@s°RE	panserai penserai penseraient penserais penserait
paRE	parai paraient parais parait paraît
paRalize	paralyser paralysé paralysée paralysées paralysés
paRkuRy	parcouru parcourue parcourues parcourus parcourut
paRi	pari parie parient paries paris
paRs°me	parsemer parsemé parsemée parsemées parsemés
paRt	parte partent partes parthe parthes
paRy	paru parue parus parut parût
pasjone	passionner passionné passionnée passionnées passionnés
pat	pat patte pattes pâte pâtes
pate	pattée pâté pâtée pâtées pâtés
poz	pause pauses pose posent poses
pavwaze	pavoiser pavoisé pavoisée pavoisées pavoisés
peNe	peigner peigné peignée peignées peignés
pene	peiner peiné peinée peinés pennées
p5tyRlyRe	peinturlurer peinturluré peinturlurée peinturlurées peinturlurés
p°le	peler pelé pelée pelées pelés
pEl	pelle pelles pèle pèlent pèles
p°lote	peloter pelotez peloté pelotée pelotés
p°lotone	pelotonner pelotonné pelotonnée pelotonnées pelotonnés
pERSe	percher perché perchée perchées perchés
pERfEksjone	perfectionner perfectionné perfectionnée perfectionnées perfectionnés
pERle	perler perlé perlée perlées perlés
pERpetRe	perpétrer perpétré perpétrée perpétrées perpétrés
pERsonalize	personnaliser personnalisez personnalisé personnalisée personnalisées
pERs8ade	persuader persuadé persuadée persuadées persuadés
pERvERti	perverti pervertie perverties pervertis pervertit
p2ple	peupler peuplé peuplée peuplées peuplés
fotokopje	photocopier photocopié photocopiée photocopiées photocopiés
pjaf	piaf piaffe piaffent piaffes piafs
pik	pic pics pique piquent piques
pj2te	pieuter pieutez pieuté pieutée pieutés
pile	piler pilé pilée pilées pilés
pim@te	pimenter pimenté pimentée pimentées pimentés
pipe	piper pipé pipée pipées pipés
pik°te	piqueter piqueté piquetée piquetées piquetés
piRate	pirater piratez piraté piratée piratés
pitbul	pit bull pit-bull pit-bulls pitbull pitbulls
plakaRde	placarder placardé placardée placardées placardés
plEd	plaid plaide plaident plaides plaids
planifje	planifier planifiez planifié planifiée planifiés
plastifje	plastifier plastifié plastifiée plastifiées plastifiés
pl9R	pleur pleure pleurent pleures pleurs
pl9Re	pleurez pleuré pleurée pleurées pleurés
pli	pli plie plient plies plis
plise	plisser plissé plissée plissées plissés
plwaje	ployer ployé ployée ployées ployés
ply	plu plue plus plut plût
platRe	plâtrer plâtré plâtrée plâtrées plâtrés
poSe	pocher poché pochée pochées pochés
pwal	poil poile poils poêle poêles
pwaRotE	poireautai poireautaient poireautais poireautait poirotait
pwase	poisser poissé poissée poissées poissés
polise	policer policé policée policées policés
pol8e	polluer pollué polluée polluées pollués
p§pe	pomper pompez pompé pompée pompés
p§pone	pomponner pomponné pomponnée pomponnées pomponnés
p§se	poncer poncé poncée poncées poncés
p§kt8e	ponctuer ponctué ponctuée ponctuées ponctués
p§deRe	pondérer pondéré pondérée pondérées pondérés
pORte	portez porté portée portées portés
pus	pouce pouces pousse poussent pousses
pudRe	poudrer poudré poudrée poudrées poudrés
puf	pouf pouffe pouffent pouffes poufs
puRi	pourri pourrie pourries pourris pourrit
puRvwa	pourvoi pourvoie pourvoient pourvois pourvoit
puRvy	pourvu pourvue pourvues pourvus pourvut
pRese	presser pressé pressée pressées pressés
pRime	primer primé primée primées primés
pRivileZje	privilégier privilégié privilégiée privilégiées privilégiés
pRodige	prodiguer prodigué prodiguée prodiguées prodigués
pRofile	profiler profilé profilée profilées profilés
pRomy	promu promue promues promus promut
pRomylge	promulguer promulgué promulguée promulguées promulgués
pRopORsjone	proportionner proportionné proportionnée proportionnées proportionnés
pRopylse	propulser propulsé propulsée propulsées propulsés
pROstit8e	prostituer prostitué prostituée prostituées prostitués
pReetabli	pré-établi préétabli préétablie préétablies préétablis
pRedetERmine	prédéterminer prédéterminé prédéterminée prédéterminées prédéterminés
pRemedite	préméditer prémédité préméditée préméditées prémédités
pRevwa	prévoie prévoient prévoies prévois prévoit
pRete	prêter prêté prêtée prêtées prêtés
pys	puce puces pusse pussent pusses
pyni	puni punie punies punis punit
pyR	pur pure purent pures purs
pytRefje	putréfier putréfié putréfiée putréfiées putréfiés
pES	pèche pèchent pêche pêchent pêches
peRime	périmer périmé périmée périmées périmés
petRi	pétri pétrie pétries pétris pétrit
kEstjone	questionner questionnez questionné questionnée questionnés
Ra	ra ras rat rats raz
Rabote	raboter raboté rabotée rabotées rabotés
RabugRi	rabougri rabougrie rabougries rabougris rabougrit
Rak	rac rack raque raquent raques
Rak§paNe	raccompagner raccompagnez raccompagné raccompagnée raccompagnés
RakuRsi	raccourci raccourcie raccourcies raccourcis raccourcit
RakEt	racket rackets rackette raquette raquettes
Rakle	racler raclé raclée raclées raclés
RakORni	racorni racornie racornies racornis racornit
Radje	radier radiers radié radiée radiés
Rafine	raffiner raffiné raffinée raffinées raffinés
RafReSi	rafraîchi rafraîchie rafraîchies rafraîchis rafraîchit
REdi	raidi raidie raidies raidis raidit
Raje	railler raillez raillé raillée raillés
RaZ9ni	rajeuni rajeunie rajeunies rajeunis rajeunit
Rali	rallie rallient rallies rallye rallyes
Ralje	rallier rallié ralliée ralliées ralliés
Ram	ram rame rament rames rams
Ram2te	rameuter rameutez rameuté rameutées rameutés
Ramifje	ramifier ramifié ramifiée ramifiées ramifiés
Ramoli	ramolli ramollie ramollies ramollis ramollit
R@	ran rang rangs rend rends
R@si	ranci rancie rancies rancis rancit
R@sone	rançonner rançonné rançonnée rançonnées rançonnés
RapatRije	rapatrier rapatrié rapatriée rapatriées rapatriés
Rapjese	rapiécer rapiécé rapiécée rapiécées rapiécés
RapEl	rappel rappelle rappellent rappelles rappels
Rap°le	rappeler rappelez rappelé rappelée rappelés
Rake	raquer raquez raqué raquée raquées
RaRefje	raréfier raréfié raréfiée raréfiées raréfiés
Raswa	rassoie rassoient rassoies rassois rassoit
RaseRene	rasséréner rasséréné rassérénée rassérénées rassérénés
Ratatine	ratatiner ratatiné ratatinée ratatinées ratatinés
RatyRe	raturer raturé raturée raturées raturés
Ravi	ravi ravie ravies ravis ravit
Ravine	raviner raviné ravinée ravinées ravinés
Ravitaje	ravitailler ravitaillé ravitaillée ravitaillées ravitaillés
R°p@se	re-penser repenser repensez repensé repensée
R°b§di	rebondi rebondie rebondies rebondis rebondit
R°butone	reboutonner reboutonnez reboutonné reboutonnée reboutonnés
R°byte	rebuter rebuté rebutée rebutées rebutés
R°kale	recaler recalez recalé recalée recalés
R°s°le	receler recelé recelée recelées recelés
R°kwafe	recoiffer recoiffez recoiffé recoiffée recoiffés
R°k§stit8e	reconstituer reconstitué reconstituée reconstituées reconstitués
R°kuRbe	recourber recourbé recourbée recourbées recourbés
R°kyl	recul recule reculent recules reculs
R°dRese	redresser redressé redressée redressées redressés
R°flete	refléter reflété reflétée reflétées reflétés
R°fORme	reformer reformez reformé reformée reformés
R°fRwadi	refroidi refroidie refroidies refroidis refroidit
R°gRete	regretter regretté regrettée regrettées regrettés
R°late	relater relaté relatée relatées relatés
R°leje	relayer relayé relayée relayées relayés
R°lje	relier relié reliée reliées reliés
R°ly	relu relue relues relus relut
R°lege	reléguer relégué reléguée reléguées relégués
R°maRje	remarier remariez remarié remariée remariés
R@buRe	rembourrer rembourré rembourrée rembourrées rembourrés
R°mERsje	remercier remerciez remercié remerciée remerciés
R°mize	remiser remisez remisé remisée remisés
R°m8e	remuer remué remuée remuées remués
R°maSe	remâcher remâchez remâché remâchée remâchées
R@f§se	renfoncer renfoncé renfoncée renfoncées renfoncés
R°nifle	renifler reniflez reniflé reniflée reniflées
R@seNe	renseigner renseigné renseignée renseignées renseignés
R@vwa	renvoi renvoie renvoient renvoies renvois
R°pER	repaire repaires repère repèrent repères
R°p@ti	repenti repentie repenties repentis repentit
R°plase	replacer replacez replacé replacée replacés
R°pli	repli replie replient replies replis
R°pl§Ze	replonger replongé replongée replongées replongés
R°pRize	repriser reprisé reprisée reprisées reprisés
R°peSe	repêcher repêché repêchée repêchées repêchés
R°sezi	ressaisi ressaisie ressaisis ressaisit ressaisît
R°sER	resserre resserrent resserres ressers ressert
R°seRe	resserrer resserré resserrée resserrées resserrés
R°sORti	ressorti ressortie ressorties ressortis ressortit
REstit8e	restituer restitué restituée restituées restitués
R°taje	retailler retaillé retaillée retaillées retaillés
R°vwa	revoie revoient revoies revois revoit
Ride	rider ridé ridée ridées ridés
Rime	rimer rimez rimé rimée rimés
Ripoline	ripoliner ripoliné ripolinée ripolinées ripolinés
Risole	rissoler rissolé rissolée rissolées rissolés
RivE	rivaient rivais rivait rivet rivets
Rive	river rivé rivée rivées rivés
RodE	rodait rôdai rôdaient rôdais rôdait
R§	romps rompt ron rond ronds
Roze	roser rosé rosée rosées rosés
Rozi	rosi rosie rosies rosis rosit
Rose	rosser rossez rossé rossée rossés
Ruje	rouiller rouillé rouillée rouillées rouillés
Rusi	roussi roussie roussies roussis roussit
Ry	ru rue ruent rues rus
R8e	ruer rué ruée ruées rués
Rymine	ruminer ruminé ruminée ruminées ruminés
Ryze	ruser rusé rusée rusées rusés
Ritme	rythmer rythmé rythmée rythmées rythmés
Reaktive	réactiver réactivez réactivé réactivée réactivées
Rek§fORte	réconforter réconfortez réconforté réconfortée réconfortés
RekRi	récri récrie récrient récris récrit
RekyRe	récurer récuré récurée récurées récurés
ReEgzamine	réexaminer réexaminez réexaminé réexaminée réexaminées
RefORme	réformer réformé réformée réformées réformés
RefRiZeRe	réfrigérer réfrigéré réfrigérée réfrigérées réfrigérés
RefeRe	référer référez référé référée référés
Regale	régaler régalez régalé régalée régalés
ReZi	régi régie régies régis régit
Regl°m@te	réglementer réglementé réglementée réglementées réglementés
Regyle	réguler régulé régulée régulées régulés
ReZeneRe	régénérer régénéré régénérée régénérées régénérés
Reabilite	réhabiliter réhabilité réhabilitée réhabilitées réhabilités
Re5tegRe	réintégrer réintégrez réintégré réintégrée réintégrés
ReiteRe	réitérer réitéré réitérée réitérées réitérés
Renove	rénover rénové rénovée rénovées rénovés
ReORganize	réorganiser réorganisez réorganisé réorganisées réorganisés
RepaRti	réparti répartie réparties répartis répartit
RepERkyte	répercuter répercuté répercutée répercutées répercutés
RepERtoRje	répertorier répertorié répertoriée répertoriées répertoriés
RepRime	réprimer réprimé réprimée réprimées réprimés
RepRuve	réprouver réprouvez réprouvé réprouvées réprouvés
Repydje	répudier répudié répudiée répudiées répudiés
RepyNe	répugner répugnez répugniez répugné répugnée
Repyte	réputer réputé réputée réputées réputés
Rezoly	résolu résolue résolues résolus résolut
Retabli	rétabli rétablie rétablies rétablis rétablit
RetRogRade	rétrograder rétrogradez rétrogradé rétrogradée rétrogradés
RetResi	rétréci rétrécie rétrécies rétrécis rétrécit
Reyni	réuni réunie réunies réunis réunit
RevEj	réveil réveille réveillent réveilles réveils
Reveje	réveiller réveillé réveillée réveillées réveillés
Revoke	révoquer révoqué révoquée révoquées révoqués
Reve	rêver rêvé rêvée rêvées rêvés
Roti	rôti rôtie rôties rôtis rôtit
sabORde	saborder sabordez sabordé sabordée sabordés
sak	sac sacque sacs saque saquent
sakade	saccader saccadé saccadée saccadées saccadés
sakRe	sacrer sacré sacrée sacrées sacrés
seNe	saigner saigné saignée saignées saignés
sal	sale sales salle salles sals
sali	sali salie salies salis salit
salopjo	salopiaud salopiauds salopiaux salopiot salopiots
saly	salue saluent salues salut saluts
sal8e	saluer salué saluée saluées salués
satane	sataner satané satanée satanées satanés
satyRe	saturer saturé saturée saturées saturés
sov°gaRde	sauvegarder sauvegardé sauvegardée sauvegardées sauvegardés
savuRe	savourer savourez savouré savourée savourés
sk@dalize	scandaliser scandalisé scandalisée scandalisées scandalisés
sk@de	scander scandé scandée scandées scandés
skane	scanner scannez scanné scannée scannés
S@pw5	schampooing shampoing shampoings shampooing shampooings
s5de	scinder scindez scindé scindée scindés
skOtSe	scotcher scotché scotchée scotchées scotchés
skRyte	scruter scrutez scruté scrutée scrutés
s°kwe	secouer secoué secouée secouées secoués
sES	seiche seiches sèche sèchent sèches
selEkt	select selects sélect sélecte sélects
s°vRe	sevrer sevré sevrée sevrées sevrés
sideRe	sidérer sidéré sidérée sidérées sidérés
sit8e	situer situé située situées situés
ski	ski skie skient skies skis
snif	snif sniff sniffe sniffent sniffes
snobe	snober snobez snobé snobée snobés
sodomize	sodomiser sodomisez sodomisé sodomisée sodomisés
solidifje	solidifier solidifié solidifiée solidifiées solidifiés
somE	sommai sommais sommait sommet sommets
s§de	sonder sondez sondé sondée sondés
susi	souci soucie soucient soucies soucis
sudwaje	soudoyer soudoyez soudoyé soudoyée soudoyés
sufRe	souffrez soufré soufrée soufrées soufrés
swete	souhaiter souhaité souhaitée souhaitées souhaités
sup°ze	soupeser soupesez soupesé soupesée soupesés
supiR	soupir soupire soupirent soupires soupirs
sutiRe	soutirer soutirez soutiré soutirée soutirées
spolje	spolier spolié spoliée spoliées spoliés
spesjalize	spécialiser spécialisé spécialisée spécialisées spécialisés
skwate	squattez squatté squattée squattées squattés
statyfje	statufier statufié statufiée statufiées statufiés
stipyle	stipuler stipulé stipulée stipulées stipulés
stOp	stop stoppe stoppent stoppes stops
stREse	stresser stressé stressée stressées stressés
stRije	strier strié striée striées striés
stile	styler stylé stylée stylées stylés
