phon	members
@plwaje	employer employez employiez employé employée employées employés
@n8ije	ennuyer ennuyez ennuyiez ennuyé ennuyée ennuyées ennuyés
@vwaje	envoyer envoyez envoyiez envoyé envoyée envoyées envoyés
Ekskly	exclu exclue excluent exclues exclus exclut exclût
f5	faim faims feins feint feints fin fins
faR	far fard fards fare fart phare phares
flaS	flache flaches flash flashe flashent flashes flashs
fuje	fouiller fouillez fouilliez fouillé fouillée fouillées fouillés
fuRni	fourni fournie fournies fournil fournis fournit fournît
fRE	frai fraie fraient fraies frais fret frets
gaNe	gagner gagnez gagniez gagné gagnée gagnées gagnés
gete	gaieté gaîté guetter guetté guettée guettées guettés
guR	gour gourd gourds goure gourent goures gours
gRije	griller grillez grilliez grillé grillée grillées grillés
abije	habiller habillez habilliez habillé habillée habillées habillés
ot	haute hautes hôte hôtes ôte ôtent ôtes
ote	hottée ôter ôtez ôté ôtée ôtées ôtés
l@se	lancer lancers lancez lancé lancée lancées lancés
l°ve	lever levers levez levé levée levées levés
li	li lie lient lies lis lit lits
lis	lice lices lis lisse lissent lisses lys
laSe	lâcher lâchers lâchez lâché lâchée lâchées lâchés
maaRadZa	maharadja maharadjah maharadjahs maharadjas maharaja maharajah maharajahs
mal	mal male males malle malles mâle mâles
m@t	mante mantes mente mentent mentes menthe menthes
makije	maquiller maquillez maquilliez maquillé maquillée maquillées maquillés
maR	marc marcs mare mares marre marrent marres
mOR	mord mords more mores mors mort morts
muRE	mouraient mourais mourait mourrai mourraient mourrais mourrait
menaZe	ménager ménagers ménagez ménagé ménagée ménagées ménagés
nwaje	noyer noyers noyez noyé noyée noyées noyés
wa	oie oies ois oit ouah oye wouah
ublije	oublier oubliez oubliiez oublié oubliée oubliées oubliés
peRi	paierie pairie péri périe péris périt pérît
p5	pain pains peins peint peints pin pins
pali	palis pallient pâli pâlie pâlies pâlis pâlit
pane	paner panner panné pané panée panées panés
paR	par pare parent parr pars part parts
paRkuRE	parcouraient parcourais parcourait parcourrai parcourraient parcourrais parcourrait
paRle	parler parlers parlez parlé parlée parlées parlés
paRti	parti partie parties partis partit party partît
pije	piller pillez pilliez pillé pillée pillées pillés
pRi	prie prient pries pris prit prix prît
py	pu pue puent pues pus put pût
RE	rai raie raient raies rais rait rets
Rabije	rhabiller rhabillez rhabilliez rhabillé rhabillée rhabillées rhabillés
su	saoul saouls sou soue sous soûl soûls
sul	saoule saoulent saoules soul soule soûle soûlent
siNe	signer signez signiez signé signée signées signés
