walk_type	sound_score	meaning_weight	next_sound_score	start	sound_fr	echo_en	echo_fr	trace
sound->meaning->sound	0.97	0.95	0.934	en:cruck	fr:crack	en:chronic	fr:cran hic	en:cruck -> fr:crack -> en:chronic -> fr:cran hic
sound->meaning->sound	0.952	0.95	0.935	en:breech	fr:bridge	en:bridges	fr:brides aise	en:breech -> fr:bridge -> en:bridges -> fr:brides aise
sound->meaning->sound	0.886	0.95	1.0	en:expressed	fr:expresse	en:express	fr:expresse	en:expressed -> fr:expresse -> en:express -> fr:expresse
sound->meaning->sound	0.881	0.95	1.0	en:zigs	fr:sexe	en:sex	fr:sexe	en:zigs -> fr:sexe -> en:sex -> fr:sexe
sound->meaning->sound	0.87	0.95	1.0	en:except	fr:excepté	en:except	fr:excepte	en:except -> fr:excepté -> en:except -> fr:excepte
sound->meaning->sound	0.87	0.95	1.0	en:express	fr:exprès	en:express	fr:expresse	en:express -> fr:exprès -> en:express -> fr:expresse
sound->meaning->sound	1.0	0.95	0.87	en:sect	fr:secte	en:respect	fr:respecte	en:sect -> fr:secte -> en:respect -> fr:respecte
sound->meaning->sound	1.0	0.95	0.87	en:sector	fr:secte	en:respect	fr:respecte	en:sector -> fr:secte -> en:respect -> fr:respecte
sound->meaning->sound	1.0	0.95	0.87	en:technique	fr:technique	en:techniques	fr:technique	en:technique -> fr:technique -> en:techniques -> fr:technique
sound->meaning->sound	0.87	0.95	1.0	en:techniques	fr:technique	en:technique	fr:technique	en:techniques -> fr:technique -> en:technique -> fr:technique
sound->meaning->sound	0.929	0.95	0.935	en:preach	fr:bridge	en:bridges	fr:brides aise	en:preach -> fr:bridge -> en:bridges -> fr:brides aise
sound->meaning->sound	0.864	0.95	1.0	en:testa	fr:test	en:test	fr:test	en:testa -> fr:test -> en:test -> fr:test
sound->meaning->sound	1.0	0.95	0.859	en:explore	fr:explorent	en:exploring	fr:explorent	en:explore -> fr:explorent -> en:exploring -> fr:explorent
sound->meaning->sound	1.0	0.95	0.859	en:explorer	fr:explorent	en:exploring	fr:explorent	en:explorer -> fr:explorent -> en:exploring -> fr:explorent
sound->meaning->sound	0.85	0.95	1.0	en:enemies	fr:ennemies	en:enemy	fr:ennemies	en:enemies -> fr:ennemies -> en:enemy -> fr:ennemies
sound->meaning->sound	1.0	0.95	0.85	en:enemy	fr:ennemies	en:enemies	fr:ennemies	en:enemy -> fr:ennemies -> en:enemies -> fr:ennemies
sound->meaning->sound	0.85	0.95	1.0	en:prairie	fr:prairies	en:prairie	fr:prairie	en:prairie -> fr:prairies -> en:prairie -> fr:prairie
sound->meaning->sound	0.85	0.95	1.0	en:stress	fr:stressé	en:stress	fr:stresse	en:stress -> fr:stressé -> en:stress -> fr:stresse
sound->meaning->sound	1.0	0.95	0.85	en:trek	fr:trek	en:direct	fr:directe	en:trek -> fr:trek -> en:direct -> fr:directe
sound->meaning->sound	1.0	0.95	0.849	en:streaked	fr:strict	en:strict	fr:strict	en:streaked -> fr:strict -> en:strict -> fr:strict
sound->meaning->sound	0.848	0.95	1.0	en:sexed	fr:secte	en:sect	fr:secte	en:sexed -> fr:secte -> en:sect -> fr:secte
sound->meaning->sound	0.848	0.95	1.0	en:sext	fr:secte	en:sect	fr:secte	en:sext -> fr:secte -> en:sect -> fr:secte
sound->meaning->sound	1.0	0.95	0.848	en:step	fr:steppes	en:steps	fr:steppes	en:step -> fr:steppes -> en:steps -> fr:steppes
sound->meaning->sound	1.0	0.95	0.848	en:steppe	fr:steppes	en:steps	fr:steppes	en:steppe -> fr:steppes -> en:steps -> fr:steppes
sound->meaning->sound	0.848	0.95	1.0	en:stepped	fr:steppes	en:steppe	fr:steppes	en:stepped -> fr:steppes -> en:steppe -> fr:steppes
sound->meaning->sound	0.848	0.95	1.0	en:steps	fr:steppes	en:steppe	fr:steppes	en:steps -> fr:steppes -> en:steppe -> fr:steppes
sound->meaning->sound	0.847	0.95	1.0	en:accept	fr:excepte	en:except	fr:excepte	en:accept -> fr:excepte -> en:except -> fr:excepte
sound->meaning->sound	1.0	0.95	0.847	en:except	fr:excepte	en:accept	fr:excepte	en:except -> fr:excepte -> en:accept -> fr:excepte
sound->meaning->sound	0.844	0.95	1.0	en:pressers	fr:presse	en:press	fr:presse	en:pressers -> fr:presse -> en:press -> fr:presse
sound->meaning->sound	0.844	0.95	1.0	en:presses	fr:presse	en:press	fr:presse	en:presses -> fr:presse -> en:press -> fr:presse
sound->meaning->sound	0.844	0.95	1.0	en:strep	fr:steppes	en:steppe	fr:steppes	en:strep -> fr:steppes -> en:steppe -> fr:steppes
sound->meaning->sound	0.844	0.95	1.0	en:testers	fr:test	en:test	fr:test	en:testers -> fr:test -> en:test -> fr:test
sound->meaning->sound	0.842	0.95	1.0	en:expressing	fr:expresse	en:express	fr:expresse	en:expressing -> fr:expresse -> en:express -> fr:expresse
sound->meaning->sound	0.97	0.95	0.87	en:sicked	fr:secte	en:respect	fr:respecte	en:sicked -> fr:secte -> en:respect -> fr:respecte
sound->meaning->sound	0.87	0.95	0.966	en:semester	fr:semestre	en:semester	fr:sommets tes	en:semester -> fr:semestre -> en:semester -> fr:sommets tes
sound->meaning->sound	0.833	0.95	1.0	en:role	fr:rôle	en:role	fr:roll	en:role -> fr:rôle -> en:role -> fr:roll
