src	dst	hops	quality	chain
arrest	intéressées	6	0.948	en:arrest ≈ fr:restes ~ en:rested ≈ fr:rincent aide ~ fr:aident rincent aide ≈ en:interested = fr:intéressées
arrested	mètre	6	0.915	en:arrested ≈ fr:hérissent aide ~ fr:met aide ≈ en:method ~ fr:méthode ≈ en:metered ~ fr:mètre
arrested	sourde	5	0.904	en:arrested ≈ fr:hérissent aide ~ fr:fait aide ≈ en:fitted ~ en:suited ≈ fr:sourde
arrested	équipée	4	0.939	en:arrested ≈ fr:hérissent aide ~ fr:fait aide ≈ en:fitted = fr:équipée
arsing	assigner	2	0.953	en:arsing ≈ fr:assigne ~ fr:assigner
arsing	assignation	2	0.945	en:arsing ≈ fr:assigne ~ fr:assignation
artist	eté	5	0.954	en:artist ~ en:artiste ≈ fr:assiste ~ fr:aide ≈ en:ed ~ fr:eté
artist	serait	5	0.942	en:artist ~ en:artiste ≈ fr:assiste ~ fr:aide ≈ en:would = fr:serait
artist	aurait	5	0.942	en:artist ~ en:artiste ≈ fr:assiste ~ fr:aide ≈ en:would = fr:aurait
artiste	attester	3	0.969	en:artiste ~ en:artist ≈ fr:atteste ~ fr:attester
artiste	attesté	3	0.968	en:artiste ~ en:artist ≈ fr:atteste ~ fr:attesté
artiste	attestée	3	0.967	en:artiste ~ en:artist ≈ fr:atteste ~ fr:attestée
assaulted	plaies	6	0.931	en:assaulted ≈ fr:isolent aide ~ fr:plient aide ≈ en:pleaded ~ en:plead ≈ fr:plaide ~ fr:plaies
assaulted	poilu	6	0.931	en:assaulted ≈ fr:isolent aide ~ fr:plient aide ≈ en:pleaded ~ en:plead ≈ fr:plaide ~ fr:poilu
assaulted	qua	6	0.929	en:assaulted ≈ fr:isolent aide ~ fr:défient aide ≈ en:defeated ~ en:defeat ≈ fr:dit hit ~ fr:qua
aster	désastre	4	0.952	en:aster ≈ fr:acheter ~ fr:dis acheter ≈ en:disaster ~ fr:désastre
aster	désastres	4	0.949	en:aster ≈ fr:acheter ~ fr:dis acheter ≈ en:disaster ~ fr:désastres
aster	désastreux	4	0.947	en:aster ≈ fr:acheter ~ fr:dis acheter ≈ en:disaster ~ fr:désastreux
at	hâte	2	0.965	en:at ≈ fr:hâtes ~ fr:hâte
at	doigt	2	0.957	en:at ≈ fr:hâtent ~ fr:doigt
at	pourpre	2	0.956	en:at ≈ fr:hâtent ~ fr:pourpre
atoll	facilitée	3	0.904	en:atoll ~ fr:isole ≈ en:easel ~ fr:facilitée
atoll	faciles	3	0.902	en:atoll ~ fr:isole ≈ en:easel ~ fr:faciles
attended	main des	6	0.936	en:attended ~ en:attending ≈ fr:étain digne ~ fr:main digne ≈ en:mending ~ en:mender ≈ fr:main des
attended	mendes	5	0.933	en:attended ~ en:attending ≈ fr:étain digne ~ fr:main digne ≈ en:mending ~ fr:mendes
attended	mens	5	0.930	en:attended ~ en:attending ≈ fr:étain digne ~ fr:main digne ≈ en:mending ~ fr:mens
attending	mains	6	0.923	en:attending ≈ fr:étain digne ~ fr:main digne ≈ en:mending ~ en:mender ≈ fr:main des ~ fr:mains
attending	vexé	5	0.944	en:attending ~ en:attended ≈ fr:étain dites ~ fr:afin dites ≈ en:offended = fr:vexé
attending	offensé	5	0.944	en:attending ~ en:attended ≈ fr:étain dites ~ fr:afin dites ≈ en:offended = fr:offensé
attic	éthiques	2	0.966	en:attic ≈ fr:éthique ~ fr:éthiques
aural	orale	2	0.961	en:aural ≈ fr:oral ~ fr:orale
auras	zeitung	2	0.938	en:auras ≈ fr:horace ~ fr:zeitung
authorities	effort	2	0.870	en:authorities ≈ fr:effort hisse ~ fr:effort
automatic	hautement	2	0.936	en:automatic ≈ fr:hautement hic ~ fr:hautement
automatic	élevés	2	0.920	en:automatic ≈ fr:hautement hic ~ fr:élevés
autumn eater	rémunération	2	0.933	en:autumn eater ≈ fr:indemnités ~ fr:rémunération
autumn eater	indemnités	2	0.930	en:autumn eater ≈ fr:indemnité ~ fr:indemnités
autumn eater	indemnité	2	0.930	en:autumn eater ≈ fr:indemnités ~ fr:indemnité
awed	amical	4	0.955	en:awed ≈ fr:odes ~ fr:émises ≈ en:amice ~ fr:amical
awed	aïd	4	0.951	en:awed ≈ fr:odes ~ fr:émises ≈ en:amice ~ fr:aïd
awed	adama	4	0.949	en:awed ≈ fr:odes ~ fr:émises ≈ en:amice ~ fr:adama
baptist	bat	6	0.939	en:baptist ≈ fr:battent est ~ fr:bat né ≈ en:partner ~ en:partners ≈ fr:bat noces ~ fr:bat
baptist	bat lis	6	0.934	en:baptist ≈ fr:battent est ~ fr:bat né ≈ en:partner ~ en:partners ≈ fr:bat noces ~ fr:bat lis
baptist	braquage	6	0.908	en:baptist ≈ fr:battent est ~ fr:braquent est ≈ en:practiced ~ en:practice ≈ fr:braquent hisse ~ fr:braquage
baseball	gilet	5	0.947	en:baseball ~ en:softball ≈ fr:savent bol ~ fr:veste ≈ en:vest = fr:gilet
baseball	délire	5	0.942	en:baseball ~ en:softball ≈ fr:savent bol ~ fr:veste ≈ en:fessed ~ fr:délire
baseball	logiciel	5	0.939	en:baseball ~ en:softball ≈ fr:savent bol ~ fr:savent ouais ≈ en:software ~ fr:logiciel
basically	coude	6	0.925	en:basically ≈ fr:pays clé ~ fr:country ≈ en:cooed rhea ~ en:cooed ≈ fr:coudes ~ fr:coude
basically	coudes	6	0.925	en:basically ≈ fr:pays clé ~ fr:country ≈ en:cooed rhea ~ en:cooed ≈ fr:coude ~ fr:coudes
basically	courge	6	0.924	en:basically ≈ fr:pays clé ~ fr:country ≈ en:cooed rhea ~ en:cooed ≈ fr:coude ~ fr:courge
basket	enlevés	2	0.924	en:basket ≈ fr:bas quitte ~ fr:enlevés
basket	partir	2	0.920	en:basket ≈ fr:bas quitte ~ fr:partir
basketball	fougueux	2	0.915	en:basketball ≈ fr:masquent bol ~ fr:fougueux
basketball	stupéfait	2	0.912	en:basketball ≈ fr:masquent bol ~ fr:stupéfait
bastard	attester	6	0.929	en:bastard ≈ fr:passent aide ~ fr:assiste ≈ en:artiste ~ en:artist ≈ fr:atteste ~ fr:attester
bastard	attesté	6	0.929	en:bastard ≈ fr:passent aide ~ fr:assiste ≈ en:artiste ~ en:artist ≈ fr:atteste ~ fr:attesté
