src	dst	hops	quality	chain
debt	voit	6	0.980	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises ≈ en:sees = fr:voit
debt inner	sise	5	0.959	en:debt inner ~ en:debt ≈ fr:dettes ~ en:seas ≈ fr:sises ~ fr:sise
debt inner	brenda	5	0.956	en:debt inner ~ en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:brenda
debt inner	coquine	5	0.955	en:debt inner ~ en:debt ≈ fr:dette ~ fr:ceci ≈ en:saucy = fr:coquine
debtor	sissi	6	0.989	en:debtor ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:sis ~ fr:sissi
debtor	sombre	6	0.980	en:debtor ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:scie ~ fr:sombre
debtor	scierie	6	0.978	en:debtor ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:scies ~ fr:scierie
decease	ever	5	0.949	en:decease ~ en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever ~ fr:ever
decease	jamais	5	0.939	en:decease ~ en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever = fr:jamais
decease	reçois	5	0.934	en:decease ~ en:deceive ≈ fr:dis ive ~ fr:ries ive ≈ en:receive = fr:reçois
deceit	ever	5	0.945	en:deceit ~ en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever ~ fr:ever
deceit	jamais	5	0.935	en:deceit ~ en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever = fr:jamais
deceit	reçois	5	0.930	en:deceit ~ en:deceive ≈ fr:dis ive ~ fr:ries ive ≈ en:receive = fr:reçois
deceive	ever	4	0.961	en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever ~ fr:ever
deceive	jamais	4	0.948	en:deceive ≈ fr:dis ive ~ fr:ève ≈ en:ever = fr:jamais
deceive	reçois	4	0.943	en:deceive ≈ fr:dis ive ~ fr:ries ive ≈ en:receive = fr:reçois
deciding	ces	4	0.921	en:deciding ≈ fr:dis atteignent ~ fr:disent ≈ en:these = fr:ces
deciding	disent	2	0.906	en:deciding ≈ fr:dis atteignent ~ fr:disent
deciding	dis	2	0.901	en:deciding ≈ fr:dis atteignent ~ fr:dis
decisive	jaunes	4	0.916	en:decisive ≈ fr:dis achève ~ fr:fini ≈ en:teeny ~ fr:jaunes
decisive	mineure	4	0.911	en:decisive ≈ fr:dis achève ~ fr:fini ≈ en:teeny ~ fr:mineure
decisive	finis	2	0.925	en:decisive ≈ fr:dis achève ~ fr:finis
decked	digue	2	0.963	en:decked ≈ fr:dicte ~ fr:digue
decked	dicté	2	0.959	en:decked ≈ fr:dicte ~ fr:dicté
decorative	décret	2	0.948	en:decorative ≈ fr:décret ive ~ fr:décret
decorative	décrets	2	0.934	en:decorative ≈ fr:décret ive ~ fr:décrets
deed arse	désireux	5	0.875	en:deed arse ~ en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désireux
deed arse	désir	5	0.868	en:deed arse ~ en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désir
deed arse	distincts	3	0.938	en:deed arse ~ en:deed irked ≈ fr:distinctes ~ fr:distincts
deed egg	désireux	4	0.921	en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désireux
deed egg	désir	4	0.913	en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désir
deed egg	distance	3	0.859	en:deed egg ~ en:deed arse ≈ fr:distances ~ fr:distance
deed irked	désireux	5	0.862	en:deed irked ~ en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désireux
deed irked	désir	5	0.855	en:deed irked ~ en:deed egg ≈ fr:distingue ~ fr:distinguer ≈ en:dit eager ~ fr:désir
deed irked	distance	3	0.933	en:deed irked ~ en:deed arse ≈ fr:distances ~ fr:distance
deeply	pliée	2	0.964	en:deeply ≈ fr:dits pli ~ fr:pliée
deeply	plié	2	0.961	en:deeply ≈ fr:dits pli ~ fr:plié
default	raies ligne	6	0.929	en:default ≈ fr:dit halte ~ fr:sait halte ≈ en:settled ~ en:settling ≈ fr:sait ligne ~ fr:raies ligne
default	gras elle	6	0.925	en:default ≈ fr:dit halte ~ fr:tant halte ≈ en:titled ~ en:title ≈ fr:taillent elle ~ fr:gras elle
default	but elle	6	0.921	en:default ≈ fr:dit halte ~ fr:sait halte ≈ en:settled ~ en:settle ≈ fr:sait elle ~ fr:but elle
defeat	qua	2	0.945	en:defeat ≈ fr:dit hit ~ fr:qua
defeat	hier	2	0.945	en:defeat ≈ fr:dit hit ~ fr:hier
defeat	ici	2	0.944	en:defeat ≈ fr:dit hit ~ fr:ici
defeated	destins	6	0.948	en:defeated ≈ fr:défient aide ~ fr:cessent aide ≈ en:tested ~ en:testing ≈ fr:destine ~ fr:destins
defeated	destiny	6	0.948	en:defeated ≈ fr:défient aide ~ fr:cessent aide ≈ en:tested ~ en:testing ≈ fr:destine ~ fr:destiny
defeated	tracts	6	0.924	en:defeated ≈ fr:défient aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:dis tracts ~ fr:tracts
defended	défenseur	5	0.952	en:defended ~ en:defending ≈ fr:divin digne ~ fr:divin des ≈ en:defender = fr:défenseur
defended	divin	3	0.954	en:defended ~ en:defending ≈ fr:divin digne ~ fr:divin
defended	divin des	3	0.952	en:defended ~ en:defending ≈ fr:divin digne ~ fr:divin des
defender	divin	6	0.940	en:defender ≈ fr:divin des ~ fr:divin digne ≈ en:defending ~ en:defended ≈ fr:divin dites ~ fr:divin
defender	divins	6	0.940	en:defender ≈ fr:divin des ~ fr:divin digne ≈ en:defending ~ en:defended ≈ fr:divin dites ~ fr:divins
defender	divin dites	5	0.948	en:defender ≈ fr:divin des ~ fr:divin digne ≈ en:defending ~ en:defended ≈ fr:divin dites
defending	divin	3	0.934	en:defending ~ en:defended ≈ fr:divin dites ~ fr:divin
defending	divins	3	0.934	en:defending ~ en:defended ≈ fr:divin dites ~ fr:divins
defending	divin dites	2	0.950	en:defending ~ en:defended ≈ fr:divin dites
deleted	tracts	6	0.923	en:deleted ≈ fr:délit aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:dis tracts ~ fr:tracts
deleted	rincer	6	0.897	en:deleted ≈ fr:délit aide ~ fr:baissent aide ≈ en:busted ~ en:wrested ≈ fr:rincent aide ~ fr:rincer
deleted	dis tracts	5	0.932	en:deleted ≈ fr:délit aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:dis tracts
delhi	delisle	3	0.971	en:delhi ~ fr:delhi ≈ en:deli ~ fr:delisle
deli	délits	2	0.980	en:deli ≈ fr:délit ~ fr:délits
demy	kay	2	0.967	en:demy ≈ fr:demi ~ fr:kay
denied	densité	4	0.945	en:denied ≈ fr:tain aède ~ fr:tain cité ≈ en:density ~ fr:densité
denied	temporaire	4	0.933	en:denied ≈ fr:tain aède ~ fr:tain prairies ≈ en:temporary ~ fr:temporaire
denied	temporaires	4	0.933	en:denied ≈ fr:tain aède ~ fr:tain prairies ≈ en:temporary ~ fr:temporaires
density	refusé	4	0.938	en:density ≈ fr:tain cité ~ fr:tain aède ≈ en:denied = fr:refusé
density	refusée	4	0.938	en:density ≈ fr:tain cité ~ fr:tain aède ≈ en:denied = fr:refusée
density	temporaire	4	0.937	en:density ≈ fr:tain cité ~ fr:tain prairies ≈ en:temporary ~ fr:temporaire
depending	diminuer	4	0.915	en:depending ≈ fr:dépeignent in ~ fr:décris in ≈ en:decreasing = fr:diminuer
depending	nourrir	4	0.909	en:depending ≈ fr:dépeignent in ~ fr:fient in ≈ en:feeding = fr:nourrir
depending	nourrissant	4	0.897	en:depending ≈ fr:dépeignent in ~ fr:fient in ≈ en:feeding ~ fr:nourrissant
deport	teddy	4	0.968	en:deport ≈ fr:dépote ~ fr:dédie ≈ en:teddy ~ fr:teddy
deport	nounours	4	0.955	en:deport ≈ fr:dépote ~ fr:dédie ≈ en:teddy = fr:nounours
deport	dédie	2	0.963	en:deport ≈ fr:dépote ~ fr:dédie
der	sissi	6	0.989	en:der ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:sis ~ fr:sissi
der	sombre	6	0.980	en:der ≈ fr:der ~ en:se ≈ fr:si ~ en:si ≈ fr:scie ~ fr:sombre
der	six	6	0.980	en:der ~ fr:der ≈ en:debtor ~ en:debt ≈ fr:dettes ~ en:seas ≈ fr:six
derrick	terreur	6	0.956	en:derrick ≈ fr:derrick ~ en:derry ≈ fr:terrer ~ fr:terre ≈ en:terror ~ fr:terreur
derrick	terre	4	0.939	en:derrick ≈ fr:derrick ~ en:derry ≈ fr:terrer ~ fr:terre
derrick	terra	4	0.936	en:derrick ≈ fr:derrick ~ en:derry ≈ fr:terrer ~ fr:terra
derry	hérétique	6	0.965	en:derry ≈ fr:terrer ~ fr:terre ≈ en:terror ~ en:terrors ≈ fr:thérèse ~ fr:hérétique
derry	thérèse	5	0.970	en:derry ≈ fr:terrer ~ fr:terre ≈ en:terror ~ en:terrors ≈ fr:thérèse
derry	terreur	4	0.974	en:derry ≈ fr:terrer ~ fr:terre ≈ en:terror ~ fr:terreur
descended	plaies	6	0.927	en:descended ≈ fr:dizaines aide ~ fr:plient aide ≈ en:pleaded ~ en:plead ≈ fr:plaide ~ fr:plaies
descended	poilu	6	0.927	en:descended ≈ fr:dizaines aide ~ fr:plient aide ≈ en:pleaded ~ en:plead ≈ fr:plaide ~ fr:poilu
descended	plier	6	0.911	en:descended ≈ fr:dizaines aide ~ fr:plient aide ≈ en:pleaded ~ en:pleading ≈ fr:plient in ~ fr:plier
designer	fin	5	0.952	en:designer ~ en:designers ≈ fr:dis ânesse ~ fr:faon est ≈ en:finest ~ fr:fin
designer	doigt	5	0.951	en:designer ~ en:designers ≈ fr:dis ânesse ~ fr:faon est ≈ en:finest ~ fr:doigt
designer	ondes	3	0.949	en:designer ~ en:designers ≈ fr:dis ânesse ~ fr:ondes
designers	année,	3	0.970	en:designers ~ en:designer ≈ fr:dis année ~ fr:année,
designers	année	3	0.956	en:designers ~ en:designer ≈ fr:dis année ~ fr:année
designers	dis année	2	0.964	en:designers ~ en:designer ≈ fr:dis année
desist	matières	6	0.971	en:desist ≈ fr:dis est ~ fr:êtes ≈ en:et ~ en:en ≈ fr:aine ~ fr:matières
desist	aine	5	0.978	en:desist ≈ fr:dis est ~ fr:êtes ≈ en:et ~ en:en ≈ fr:aine
desist	n	5	0.978	en:desist ≈ fr:dis est ~ fr:êtes ≈ en:et ~ en:en ≈ fr:n
desperate	lient elle	6	0.937	en:desperate ~ en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly ~ en:lethal ≈ fr:lient elle
desperate	mortels	5	0.937	en:desperate ~ en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly = fr:mortels
desperate	mortel	5	0.937	en:desperate ~ en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly = fr:mortel
desperately	met elle	6	0.944	en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly ~ en:lethal ≈ fr:lient elle ~ fr:met elle
desperately	cône	6	0.942	en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly ~ en:lethal ≈ fr:lient elle ~ fr:cône
desperately	lient elle	5	0.943	en:desperately ≈ fr:dès paierait lis ~ fr:dès lis ≈ en:deadly ~ en:lethal ≈ fr:lient elle
despite	matrix	4	0.948	en:despite ≈ fr:dis pâte ~ fr:met rixe ≈ en:matrix ~ fr:matrix
despite	matrices	4	0.939	en:despite ≈ fr:dis pâte ~ fr:met rixe ≈ en:matrix ~ fr:matrices
despite	matrice	4	0.935	en:despite ≈ fr:dis pâte ~ fr:met rixe ≈ en:matrix = fr:matrice
destination	ceci	6	0.934	en:destination ≈ fr:destin échine ~ fr:destinée ≈ en:debt inner ~ en:debt ≈ fr:dette ~ fr:ceci
destination	déduit	6	0.928	en:destination ≈ fr:destin échine ~ fr:destinée ≈ en:debt inner ~ en:debt ≈ fr:dettes ~ fr:déduit
destination	se	6	0.922	en:destination ≈ fr:destin échine ~ fr:destinée ≈ en:debt inner ~ en:debtor ≈ fr:der ~ fr:se
destroyed	préjugés	2	0.894	en:destroyed ≈ fr:dissent rhodes ~ fr:préjugés
destroyed	dénoncés	2	0.888	en:destroyed ≈ fr:dissent rhodes ~ fr:dénoncés
destroyed	ressent	2	0.883	en:destroyed ≈ fr:dissent rhodes ~ fr:ressent
destroys	détruite	4	0.910	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroys	détruites	4	0.909	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruites
destroys	détruits	4	0.909	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruits
destructive	trot	6	0.954	en:destructive ≈ fr:dis traquent ive ~ fr:traquent ive ≈ en:tractive ~ fr:trotte ≈ en:trot ~ fr:trot
destructive	troc	6	0.949	en:destructive ≈ fr:dis traquent ive ~ fr:traquent ive ≈ en:tractive ~ fr:trotte ≈ en:trot ~ fr:troc
destructive	dis	6	0.908	en:destructive ≈ fr:dis traquent ive ~ fr:dis ive ≈ en:deceive ~ en:decease ≈ fr:dis hisse ~ fr:dis
detect	pratiquer	6	0.932	en:detect ≈ fr:dit acte ~ fr:prêt acte ≈ en:protect ~ en:protecting ≈ fr:pratiquent in ~ fr:pratiquer
detect	tourner	6	0.927	en:detect ≈ fr:dit acte ~ fr:pros acte ≈ en:product ~ en:tooter ≈ fr:tours ~ fr:tourner
detect	exercer	6	0.926	en:detect ≈ fr:dit acte ~ fr:prêt acte ≈ en:protect ~ en:protecting ≈ fr:pratiquent in ~ fr:exercer
detected	exprimé	2	0.932	en:detected ≈ fr:dit excède ~ fr:exprimé
detected	exprimée	2	0.932	en:detected ≈ fr:dit excède ~ fr:exprimée
detected	exprimées	2	0.930	en:detected ≈ fr:dit excède ~ fr:exprimées
detest	dis est	2	0.978	en:detest ≈ fr:dit est ~ fr:dis est
detest	tas	2	0.972	en:detest ≈ fr:dit est ~ fr:tas
detour	îlot	2	0.930	en:detour ≈ fr:tétons ~ fr:îlot
devoted	sort	6	0.952	en:devoted ≈ fr:devait aide ~ fr:sont aide ≈ en:sorted ~ fr:sortent ≈ en:sort ~ fr:sort
devoted	sorte	6	0.944	en:devoted ≈ fr:devait aide ~ fr:sont aide ≈ en:sorted ~ fr:sortent ≈ en:sort = fr:sorte
devoted	tri	6	0.944	en:devoted ≈ fr:devait aide ~ fr:sont aide ≈ en:sorted ~ fr:sortent ≈ en:sort = fr:tri
dew	soft	3	0.983	en:dew ≈ fr:doux = en:soft ≈ fr:soft
dew	doués	2	0.982	en:dew ≈ fr:doux ~ fr:doués
di	serrer	6	0.964	en:di ≈ fr:dit ~ fr:cet ≈ en:set ~ en:setter ≈ fr:serre ~ fr:serrer
di	serres	6	0.963	en:di ≈ fr:dit ~ fr:cet ≈ en:set ~ en:setter ≈ fr:serre ~ fr:serres
di	serrés	6	0.962	en:di ≈ fr:dit ~ fr:cet ≈ en:set ~ en:setter ≈ fr:serre ~ fr:serrés
dickey	terne	3	0.931	en:dickey ~ en:dickie ≈ fr:tiquer ~ fr:terne
dickie	terne	3	0.931	en:dickie ~ en:dickey ≈ fr:tiquer ~ fr:terne
dicks	beat	3	0.983	en:dicks = fr:bites ≈ en:beat ~ fr:beat
dicks	battez	3	0.967	en:dicks = fr:bites ≈ en:beat = fr:battez
dicks	battu	3	0.967	en:dicks = fr:bites ≈ en:beat = fr:battu
dicky	terne	2	0.933	en:dicky ≈ fr:tiquer ~ fr:terne
did	out	5	0.933	en:did ~ en:do ≈ fr:doues ~ fr:hâtes ≈ en:out ~ fr:out
did	sortir	5	0.923	en:did ~ en:do ≈ fr:doues ~ fr:hâtes ≈ en:out = fr:sortir
did	sortie	5	0.923	en:did ~ en:do ≈ fr:doues ~ fr:hâtes ≈ en:out = fr:sortie
diesel	êtes	6	0.950	en:diesel ≈ fr:dis elle ~ fr:ries elle ≈ en:resell ~ en:reseal ≈ fr:ries il ~ fr:êtes
diesel	sis ès	6	0.949	en:diesel ≈ fr:dis elle ~ fr:ries elle ≈ en:resell ~ en:reseal ≈ fr:ries il ~ fr:sis ès
diesel	aise	6	0.927	en:diesel ≈ fr:dis elle ~ fr:propos elle ≈ en:proposal ~ en:proposes ≈ fr:propos aise ~ fr:aise
digit	randy	5	0.938	en:digit ~ en:digits ≈ fr:dit gypse ~ fr:rhin dit ≈ en:randy ~ fr:randy
digit	randall	5	0.894	en:digit ~ en:digits ≈ fr:dit gypse ~ fr:rhin dit ≈ en:randy ~ fr:randall
digit	rhin dit	3	0.921	en:digit ~ en:digits ≈ fr:dit gypse ~ fr:rhin dit
digits	randy	4	0.942	en:digits ≈ fr:dit gypse ~ fr:rhin dit ≈ en:randy ~ fr:randy
digits	randall	4	0.886	en:digits ≈ fr:dit gypse ~ fr:rhin dit ≈ en:randy ~ fr:randall
digits	jeté	3	0.925	en:digits ~ en:digit ≈ fr:dit jette ~ fr:jeté
dilly	dealers	2	0.955	en:dilly ≈ fr:dealer ~ fr:dealers
dimension	demain	2	0.929	en:dimension ≈ fr:demain chaîne ~ fr:demain
dippy	autrement	2	0.941	en:dippy ≈ fr:dépit ~ fr:autrement
dippy	supposés	2	0.938	en:dippy ≈ fr:dépit ~ fr:supposés
disagree	appât	2	0.964	en:disagree ≈ fr:dis aigri ~ fr:appât
disagree	têtu	2	0.963	en:disagree ≈ fr:dis aigri ~ fr:têtu
disclose	grief	6	0.952	en:disclose ≈ fr:dis clause ~ fr:clause ≈ en:claws = fr:griffes ≈ en:grief ~ fr:grief
disclose	griefs	6	0.944	en:disclose ≈ fr:dis clause ~ fr:clause ≈ en:claws = fr:griffes ≈ en:grief ~ fr:griefs
disclose	deuil	6	0.944	en:disclose ≈ fr:dis clause ~ fr:clause ≈ en:claws = fr:griffes ≈ en:grief = fr:deuil
discovering	rosso	5	0.931	en:discovering ~ en:discovery ≈ fr:dis cabri ~ fr:raies lis ≈ en:redly ~ fr:rosso
discovering	raies lis	3	0.943	en:discovering ~ en:discovery ≈ fr:dis cabri ~ fr:raies lis
discreet your	dis crabe	3	0.930	en:discreet your ≈ fr:description ~ en:describe ≈ fr:dis crabe
discreet your	descriptions	2	0.945	en:discreet your ≈ fr:description ~ fr:descriptions
discreet your	description	2	0.945	en:discreet your ≈ fr:descriptions ~ fr:description
discussed	année,	6	0.953	en:discussed ≈ fr:dis caste ~ fr:dis ânesse ≈ en:designers ~ en:designer ≈ fr:dis année ~ fr:année,
discussed	année	6	0.946	en:discussed ≈ fr:dis caste ~ fr:dis ânesse ≈ en:designers ~ en:designer ≈ fr:dis année ~ fr:année
discussed	dis année	5	0.948	en:discussed ≈ fr:dis caste ~ fr:dis ânesse ≈ en:designers ~ en:designer ≈ fr:dis année
disease	soulage	5	0.937	en:disease ~ en:diseases ≈ fr:dis isis ~ fr:isis ≈ en:eases = fr:soulage
disease	ais	5	0.936	en:disease ~ en:diseases ≈ fr:dis isis ~ fr:isis ≈ en:eases ~ fr:ais
disease	émise	5	0.936	en:disease ~ en:diseases ≈ fr:dis isis ~ fr:isis ≈ en:eases ~ fr:émise
diseases	excréments	5	0.928	en:diseases ~ en:disease ≈ fr:dis hisse ~ fr:fies hisse ≈ en:faeces = fr:excréments
diseases	soulage	4	0.926	en:diseases ≈ fr:dis isis ~ fr:isis ≈ en:eases = fr:soulage
diseases	ais	4	0.925	en:diseases ≈ fr:dis isis ~ fr:isis ≈ en:eases ~ fr:ais
disgrace	grecs	2	0.929	en:disgrace ≈ fr:dis grèce ~ fr:grecs
disgrace	grèce	2	0.928	en:disgrace ≈ fr:dis grèce ~ fr:grèce
disguise	sexes	6	0.957	en:disguise ~ fr:déguise ≈ en:techies ~ en:techs ≈ fr:sexe ~ en:sex ≈ fr:sexes
disguise	tic	6	0.954	en:disguise ~ fr:déguise ≈ en:techies ~ en:tech ≈ fr:teck = en:teak ≈ fr:tic
disguise	tique	6	0.954	en:disguise ~ fr:déguise ≈ en:techies ~ en:tech ≈ fr:teck = en:teak ≈ fr:tique
disgusting	cassent in	3	0.946	en:disgusting ≈ fr:dis casting ~ en:casting ≈ fr:cassent in
disgusting	casting	2	0.945	en:disgusting ≈ fr:dis casting ~ fr:casting
dislike	lacs	2	0.928	en:dislike ≈ fr:dis lac ~ fr:lacs
dismissed	nécessaires	2	0.859	en:dismissed ≈ fr:dis must ~ fr:nécessaires
disorder	désaccord	4	0.952	en:disorder ≈ fr:dis ondées ~ fr:dis aigri ≈ en:disagree = fr:désaccord
disorder	désaccords	4	0.931	en:disorder ≈ fr:dis ondées ~ fr:dis aigri ≈ en:disagree ~ fr:désaccords
disorder	boiteux	2	0.937	en:disorder ≈ fr:dis ondées ~ fr:boiteux
displays	conducteur	4	0.927	en:displays ≈ fr:dis plaise ~ fr:con dictée ≈ en:conductor = fr:conducteur
displays	dif	4	0.894	en:displays ≈ fr:dis plaise ~ en:disses ≈ fr:dis aise ~ fr:dif
displays	dis	4	0.893	en:displays ≈ fr:dis plaise ~ en:disses ≈ fr:dis aise ~ fr:dis
disport	expulser	4	0.961	en:disport ≈ fr:despote ~ fr:dépote ≈ en:deport = fr:expulser
disport	déportés	4	0.937	en:disport ≈ fr:despote ~ fr:dépote ≈ en:deport ~ fr:déportés
disport	déviation	4	0.936	en:disport ≈ fr:despote ~ fr:dépote ≈ en:deport ~ fr:déviation
disposal	los	6	0.918	en:disposal ≈ fr:dispos elle ~ fr:gras elle ≈ en:gravel ~ en:dusty ≈ fr:des tee ~ fr:los
disposal	des tee	5	0.920	en:disposal ≈ fr:dispos elle ~ fr:gras elle ≈ en:gravel ~ en:dusty ≈ fr:des tee
disposal	pistolet	4	0.962	en:disposal ≈ fr:dispos elle ~ fr:pissent elle ≈ en:pistol ~ fr:pistolet
disprove	prouver	4	0.977	en:disprove ≈ fr:dis prouve ~ fr:prouve ≈ en:prove ~ fr:prouver
disprove	prouve	4	0.966	en:disprove ≈ fr:dis prouve ~ fr:prouvent ≈ en:prove = fr:prouve
disprove	prouvée	2	0.961	en:disprove ≈ fr:dis prouve ~ fr:prouvée
dissed	teste	6	0.981	en:dissed ≈ fr:test ~ en:test ≈ fr:testent ~ en:testa ≈ fr:tester ~ fr:teste
dissed	dix	6	0.959	en:dissed ≈ fr:test ~ en:test ≈ fr:testes ~ en:testes ≈ fr:taies dix ~ fr:dix
dissed	aident dix	6	0.952	en:dissed ≈ fr:test ~ en:test ≈ fr:testes ~ en:testes ≈ fr:taies dix ~ fr:aident dix
disses	tester	6	0.973	en:disses ~ en:dissed ≈ fr:test ~ en:test ≈ fr:testent ~ en:testa ≈ fr:tester
disses	teste	5	0.970	en:disses ~ en:dissed ≈ fr:test ~ en:test ≈ fr:testes ~ fr:teste
disses	épreuve	5	0.970	en:disses ~ en:dissed ≈ fr:test ~ en:test ≈ fr:testent ~ fr:épreuve
distract	pacte	6	0.929	en:distract ~ en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted ~ en:bucked ≈ fr:pacte
distract	cassé	5	0.943	en:distract ~ en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted = fr:cassé
distract	affectée	5	0.941	en:distract ~ en:distracted ≈ fr:dis traquent aide ~ fr:évoquent aide ≈ en:affected = fr:affectée
distracted	rincer	6	0.911	en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted ~ en:wrested ≈ fr:rincent aide ~ fr:rincer
distracted	pacte	5	0.933	en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted ~ en:bucked ≈ fr:pacte
distracted	cassé	4	0.951	en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted = fr:cassé
distress	honnêteté	4	0.952	en:distress ≈ fr:dis tresses ~ fr:anis tee ≈ en:honesty ~ fr:honnêteté
distress	maitresse	4	0.949	en:distress ≈ fr:dis tresses ~ fr:mais tresses ≈ en:mistress = fr:maitresse
distress	maîtresse	4	0.949	en:distress ≈ fr:dis tresses ~ fr:mais tresses ≈ en:mistress = fr:maîtresse
distributor	contredire	2	0.909	en:distributor ≈ fr:dissent rebuter ~ fr:contredire
distributor	contredit	2	0.906	en:distributor ≈ fr:dissent rebuter ~ fr:contredit
disturbing	détruit	4	0.895	en:disturbing ≈ fr:dissent open ~ fr:dissent rose ≈ en:destroys = fr:détruit
disturbing	détruire	4	0.883	en:disturbing ≈ fr:dissent open ~ fr:dissent rose ≈ en:destroys ~ fr:détruire
disturbing	détruits	4	0.880	en:disturbing ≈ fr:dissent open ~ fr:dissent rose ≈ en:destroys ~ fr:détruits
dit eager	distance	6	0.894	en:dit eager ≈ fr:distinguer ~ fr:distingue ≈ en:deed egg ~ en:deed arse ≈ fr:distances ~ fr:distance
dit eager	distances	6	0.894	en:dit eager ≈ fr:distinguer ~ fr:distingue ≈ en:deed egg ~ en:deed arse ≈ fr:distance ~ fr:distances
dit eager	œuf	4	0.872	en:dit eager ≈ fr:distinguer ~ fr:distingue ≈ en:deed egg ~ fr:œuf
ditty	tit	2	0.951	en:ditty ≈ fr:titi ~ fr:tit
divvy	devenez	2	0.968	en:divvy ≈ fr:devis ~ fr:devenez
do	out	4	0.958	en:do ≈ fr:doues ~ fr:hâtes ≈ en:out ~ fr:out
do	sortir	4	0.945	en:do ≈ fr:doues ~ fr:hâtes ≈ en:out = fr:sortir
do	sortie	4	0.945	en:do ≈ fr:doues ~ fr:hâtes ≈ en:out = fr:sortie
dodgers	infante	4	0.908	en:dodgers ≈ fr:tôt chaise ~ fr:tôt les ≈ en:toddler ~ fr:infante
dodgers	tôt les	2	0.889	en:dodgers ≈ fr:tôt chaise ~ fr:tôt les
domestic	étincelle	3	0.944	en:domestic = fr:domestiques ≈ en:doormat eek ~ fr:étincelle
domestic	voyante	3	0.944	en:domestic = fr:domestiques ≈ en:doormat eek ~ fr:voyante
dominion	demain	2	0.959	en:dominion ≈ fr:demain in ~ fr:demain
done	féminin	2	0.955	en:done ≈ fr:donne ~ fr:féminin
done	féminine	2	0.951	en:done ≈ fr:donne ~ fr:féminine
doormat eek	domestiques	2	0.946	en:doormat eek ≈ fr:domestique ~ fr:domestiques
doormat eek	domestique	2	0.946	en:doormat eek ≈ fr:domestiques ~ fr:domestique
doormat eek	maisonneuve	2	0.946	en:doormat eek ≈ fr:domestique ~ fr:maisonneuve
doormen	domaines	2	0.960	en:doormen ≈ fr:domaine ~ fr:domaines
dorks	doc	2	0.947	en:dorks ≈ fr:docte ~ fr:doc
dorky	talk	4	0.962	en:dorky ≈ fr:toquer ~ fr:toquent ≈ en:talk ~ fr:talk
dorky	conversation	4	0.952	en:dorky ≈ fr:toquer ~ fr:toquent ≈ en:talk ~ fr:conversation
dorky	toc	2	0.914	en:dorky ≈ fr:toquer ~ fr:toc
douche	douches	2	0.938	en:douche ≈ fr:douche ~ fr:douches
douche	douche	2	0.938	en:douche ≈ fr:douches ~ fr:douche
douche	lavage	2	0.853	en:douche ≈ fr:douches ~ fr:lavage
downward	serait	4	0.912	en:downward ≈ fr:tan oued ~ fr:oueds ≈ en:would = fr:serait
downward	aurait	4	0.912	en:downward ≈ fr:tan oued ~ fr:oueds ≈ en:would = fr:aurait
downward	ferait	4	0.912	en:downward ≈ fr:tan oued ~ fr:oueds ≈ en:would = fr:ferait
drafting	entrer	6	0.929	en:drafting ≈ fr:drapent in ~ fr:fait in ≈ en:thirteen ~ en:fourteen ≈ fr:faut in ~ fr:entrer
