word	variant	zipf
descended	descending	3.51
descended	descends	3.16
descended	descend	3.51
detected	detecting	3.52
detected	detect	4.05
detected	detects	3.10
detest	detesting	1.43
detest	detests	2.23
detest	detested	2.56
diesel	diesels	2.62
differs	differing	3.61
differs	differed	3.28
differs	differ	4.03
digit	digits	3.66
disagree	disagreeing	2.90
disagree	disagreed	3.49
disagree	disagrees	3.25
disaster	disasters	3.76
discovering	discovered	4.74
discovering	discovers	3.62
discovering	discover	4.39
discussed	discussing	4.23
discussed	discuss	4.66
discussed	discusses	3.93
discussing	discuss	4.66
discussing	discussed	4.45
discussing	discusses	3.93
disease	diseases	4.36
diseases	disease	4.90
disgusting	disgust	3.61
disgusting	disgusted	3.57
disgusting	disgusts	2.68
dismissed	dismissing	3.39
dismissed	dismiss	3.85
dismissed	dismisses	3.10
disorder	disordering	1.13
disorder	disordered	2.98
disorder	disorders	4.14
disprove	disproving	2.22
disprove	disproves	2.18
disprove	disproven	2.23
disprove	disproved	2.72
distract	distracting	3.43
distract	distracted	3.88
distract	distracts	2.81
distracted	distracting	3.43
distracted	distracts	2.81
distracted	distract	3.71
distress	distresses	2.07
distress	distressed	3.57
distress	distressing	3.20
disturbing	disturbed	3.80
disturbing	disturbs	2.83
disturbing	disturb	3.56
dodgers	dodger	3.26
domestic	domestics	2.23
drafting	drafted	3.91
drafting	drafts	3.58
drafting	draft	4.61
dresses	dressed	4.42
dresses	dressing	4.17
dresses	dress	4.76
dusty	dustier	1.32
dusty	dustiest	1.08
dynasty	dynasties	2.97
eat auric	eats auric	3.95
eat auric	eaten auric	4.13
eat auric	eating auric	4.85
eat auric	ate auric	4.34
edges	edged	3.55
edges	edging	3.15
edges	edge	4.74
edited	edits	3.44
edited	editing	4.27
edited	edit	4.30
editing	edited	4.31
editing	edits	3.44
editing	edit	4.30
elders	elder	4.06
eldest	older	4.92
eldest	elder	4.06
eldest	olds	3.98
eldest	oldest	4.24
eldest	old	5.75
endangered	endanger	3.23
endangered	endangers	2.60
endangered	endangering	3.08
ended	ends	4.75
ended	end	5.68
ended	ending	4.68
ending	endings	3.54
ending	ends	4.75
ending	end	5.68
ending	ended	4.92
endorsed	endorse	3.63
endorsed	endorses	3.02
endorsed	endorsing	3.24
endure	endured	3.58
endure	endures	2.98
endure	enduring	3.67
energy	energies	3.54
enforce	enforces	2.88
enforce	enforcing	3.57
enforce	enforced	3.79
engine	engines	4.35
entered	entering	4.42
entered	enters	4.01
entered	enter	4.81
enters	entering	4.42
enters	entered	4.72
enters	enter	4.81
entries	entry	4.67
entry	entries	4.09
envy	envying	2.08
envy	envied	2.73
envy	envies	2.19
erected	erecting	2.85
erected	erects	1.94
erected	erect	3.52
eschew	eschews	2.29
eschew	eschewing	2.40
eschew	eschewed	2.49
estimated	estimate	4.29
estimated	estimates	4.30
estimated	estimating	3.33
excel	excelled	3.19
excel	excels	2.93
excel	excelling	2.64
excess	excesses	3.12
excluded	excluding	3.92
excluded	exclude	3.78
excluded	excludes	3.38
excluding	excluded	3.89
excluding	exclude	3.78
excluding	excludes	3.38
exclusion	exclusions	2.83
exercises	exercise	4.68
exercises	exercised	3.52
exercises	exercising	3.73
existed	exists	4.48
existed	existing	4.75
existed	exist	4.73
exit arse	exited arse	3.38
exit arse	exiting arse	3.34
exit arse	exits arse	3.53
exit arse	exit arses	2.47
exit art	exit arts	4.70
exit art	exited art	3.38
exit art	exits art	3.53
exit art	exiting art	3.34
exodus	exoduses	1.09
exotic	exotics	2.55
expressing	expresses	3.61
expressing	express	4.68
expressing	expressed	4.52
faster	fast	5.13
faster	fasts	2.53
faster	fasted	2.64
faster	fastest	4.24
faster	fasting	3.57
fastest	fast	5.13
fastest	fasts	2.53
fastest	fasted	2.64
fastest	fasting	3.57
fastest	faster	4.64
feathers	feathered	3.05
feathers	feathering	2.48
feathers	feather	3.69
feature	features	4.94
feature	featured	4.44
feature	featuring	4.45
federal	federals	2.31
feedback	feedbacks	2.35
feeding	feeds	3.89
feeding	feed	4.67
feeding	feedings	2.49
feeding	fed	4.51
fender	fenders	2.78
ferry	ferrying	2.54
ferry	ferried	2.54
ferry	ferries	3.18
fit evil	fitter evil	3.01
fit evil	fitting evil	4.10
fit evil	fit evils	3.35
fit evil	fittest evil	2.99
fit evil	fitted evil	4.13
fit evil	fits evil	4.27
fitted	fitting	4.10
fitted	fittest	2.99
fitted	fits	4.27
fitted	fit	4.95
fitted	fitter	3.01
flooded	flooding	3.97
flooded	floods	3.78
flooded	flood	4.34
flooding	floods	3.78
flooding	flooded	3.79
flooding	floodings	1.38
flooding	flood	4.34
football	footballs	2.72
footballer	footballers	3.45
forces	force	5.23
forces	forced	4.83
forces	forcing	4.21
forcing	force	5.23
forcing	forced	4.83
forcing	forces	4.98
foreigners	foreigner	3.48
fortress	fortresses	2.84
fracture	fractured	3.49
fracture	fracturing	2.96
fracture	fractures	3.53
freedom	freedoms	3.62
freezing	frozen	4.32
freezing	freezes	3.29
freezing	freezings	0.00
freezing	froze	3.42
freezing	freeze	4.11
friendly	friendlier	2.72
friendly	friendliest	2.71
friendship	friendships	3.67
friendships	friendship	4.39
frustrated	frustrating	3.97
frustrated	frustrates	2.69
frustrated	frustrate	2.99
frustrating	frustrated	4.08
frustrating	frustrates	2.69
frustrating	frustrate	2.99
funded	funding	4.63
funded	fund	4.82
funded	funds	4.74
funding	fundings	1.67
funding	funded	4.29
funding	fund	4.82
funding	funds	4.74
garden	gardens	4.27
garden	gardening	3.67
garden	gardened	1.63
gases	gas	5.01
gases	gassed	3.01
gases	gassing	2.65
gases	gasses	2.61
gathered	gathers	3.28
gathered	gathering	4.25
gathered	gather	4.24
gesture	gestured	2.55
gesture	gestures	3.59
gesture	gesturing	2.64
get your	got your	5.91
get your	gets your	5.25
get your	gotten your	4.47
get your	getting your	5.57
glasses	glassing	1.79
glasses	glassed	2.23
glasses	glass	4.85
grandma	grandmas	2.69
grandmother	grandmothers	2.99
granted	granting	3.68
granted	grant	4.67
granted	grants	4.15
greeted	greets	3.12
greeted	greeting	3.68
greeted	greet	3.73
