word	variant	zipf
apprête	apprêtent	3.03
apprête	apprêter	2.58
apprête	apprêtant	2.48
apprête	apprêtez	2.29
apprête	apprêtes	2.19
apprête	apprêté	2.12
apte	aptes	3.33
aptes	apte	3.63
arc	arcs	3.63
arc	arce	2.40
arc	arca	2.35
arcs	arc	4.39
ardenne	ardennes	3.56
ardennes	ardenne	3.43
are	area	3.20
are	ara	3.05
are	ares	2.96
are	areas	2.61
arme	armes	4.99
arme	armé	4.21
arme	armer	3.50
arme	armee	3.00
arme	arma	2.83
arme	armez	2.53
arme	arment	2.39
arme	armant	2.23
arme	armait	1.78
armes	arme	4.67
arni	arnie	2.17
artiste	artistes	4.74
artistes	artiste	4.74
as	a	7.00
as	ass	3.46
as	asa	2.92
as	ase	2.74
as	ases	2.01
aspect	aspects	4.36
aspects	aspect	4.57
assen	assener	1.81
assen	assené	1.68
assen	assenés	1.13
assen	assena	1.09
assen	assenait	1.03
assen	assenées	0.00
assen	assenée	0.00
assen	assenaient	0.00
assen	assenai	0.00
assigne	assigné	3.53
assigne	assigner	3.15
assigne	assignent	2.17
assigne	assignant	2.13
assigne	assigna	1.85
assigne	assignait	1.83
assigne	assignes	1.12
assise	assises	4.01
assises	assise	4.18
assène	assènent	1.79
asti	astier	3.10
atelier	ateliers	4.26
ateliers	atelier	4.45
atmosphère	atmosphères	2.89
atomes	atome	3.51
attaque	attaquer	4.47
attaque	attaques	4.46
attaque	attaqué	4.23
attaque	attaquant	4.16
attaque	attaquent	3.83
attaque	attaquait	3.00
attaque	attaqua	2.96
attaque	attaquez	2.75
atteste	attestent	3.30
atteste	attesté	3.16
atteste	attestant	3.12
atteste	attester	3.05
atteste	attestait	1.93
attique	attiques	2.01
attise	attiser	3.10
attise	attisent	2.39
attise	attisé	2.38
attise	attisant	2.06
attise	attisait	1.52
attise	attisez	1.46
attise	attises	1.01
aube	auber	2.77
aube	aubes	2.74
aube	aubé	2.28
audit	audits	2.80
audit	auditer	2.20
audit	audité	2.01
aune	aunes	1.66
aunes	aune	3.19
aure	aurait	5.52
aure	aura	5.36
aure	aurez	4.48
aure	aurea	2.40
aurore	aurora	3.14
aurore	aurores	3.13
aurores	aurore	3.68
aussi	aussie	2.29
australie	australia	2.93
aven	avenant	3.21
avenues	avenue	4.37
avi	avis	5.21
avi	avions	4.74
avi	aviez	4.06
avi	avia	2.35
avis	avisé	3.42
avis	avisés	3.12
avis	avi	3.05
avis	aviser	3.05
avis	avise	3.04
avis	avisée	2.71
avis	avisa	2.39
avis	avisez	2.15
avis	avisant	2.14
avis	avisées	2.11
avis	avisait	1.78
avis	avisent	1.77
avise	avisé	3.42
avise	aviser	3.05
avise	avisa	2.39
avise	avisez	2.15
avise	avisant	2.14
avise	avisait	1.78
avise	avisent	1.77
avise	avises	1.63
aviser	avisé	3.42
aviser	avisés	3.12
aviser	avise	3.04
aviser	avisée	2.71
aviser	avisera	2.43
aviser	avisa	2.39
aviser	avisez	2.15
aviser	avisant	2.14
aviser	avisées	2.11
aviser	aviserai	1.83
aviser	aviserons	1.82
aviser	avisait	1.78
avisé	avisés	3.12
avisé	avisée	2.71
avisé	avisées	2.11
avisée	avisées	2.11
avisées	avisée	2.71
avisés	avisé	3.42
axe	axes	3.99
axe	axé	3.43
axe	axa	3.26
axe	axer	2.47
axe	axent	1.62
axes	axe	4.37
axé	axée	3.36
axé	axés	2.84
axé	axées	2.78
ayr	ayres	2.46
ayre	ayres	2.46
aztèque	aztèques	2.69
aztèques	aztèque	2.63
b	bas	5.39
b	bons	4.95
b	be	4.27
b	ba	3.97
b	bs	3.18
b	bai	3.07
b	bé	3.00
b	bes	2.99
b	bée	2.94
b	bent	2.82
b	bx	2.72
b	ber	2.65
baby	babys	1.64
bac	bacs	3.50
bacs	bac	4.57
badge	badges	3.09
badge	badger	2.64
badger	badge	3.53
badger	badges	3.09
badges	badge	3.53
badi	badie	2.25
badi	badia	2.22
badi	badis	2.20
badie	badia	2.22
badine	badiner	1.92
badine	badines	1.25
badine	badiné	1.03
badine	badinez	0.00
badine	badinait	0.00
badis	badi	2.21
baer	bae	3.11
baer	baa	2.49
baer	baez	2.34
bague	bagues	3.47
bague	bagué	1.76
bague	baguer	1.69
bagues	bague	3.99
baguette	baguettes	3.41
baguettes	baguette	3.81
bah	baha	2.08
bai	baie	4.25
bai	baies	3.67
bai	bais	2.50
bai	baia	2.10
baie	baies	3.67
baie	baia	2.10
baies	baie	4.25
baiser	baise	4.21
baiser	baisé	3.62
baiser	baisers	3.56
baiser	baisent	3.10
baiser	baisée	3.05
baiser	baises	3.02
baiser	baisez	2.66
baiser	baisés	2.64
baiser	baisant	2.61
baiser	baisait	2.32
baiser	baisées	2.24
baiser	baisaient	2.06
baisse	baisser	4.29
baisse	baissé	3.87
baisse	baisses	3.51
baisse	baissent	3.41
baisse	baissant	3.07
baisse	baissez	2.85
baisse	baissait	2.79
baisse	baissa	2.66
baisses	baisse	4.69
ballerine	ballerines	2.85
ballerines	ballerine	2.93
balte	baltes	3.19
baltes	balte	2.41
bandit	bandits	3.48
bandits	bandit	3.30
bang	bangs	2.29
bang	banger	2.23
bani	banier	2.07
banni	bannis	3.18
banni	bannie	2.92
banni	bannies	2.44
bannie	bannies	2.44
bannies	bannie	2.92
bannis	banni	3.50
banque	banques	4.48
banque	banquer	1.48
banque	banqué	0.00
banques	banque	4.87
baptiste	baptistes	2.33
baptiste	baptista	2.23
baptistes	baptiste	4.08
barb	barbe	4.20
barb	barbes	3.06
barb	barber	2.86
barb	barba	2.49
barb	barbant	2.31
barb	barbé	2.27
barb	barbons	1.31
barb	barbés	1.27
