word	variant	zipf
ass	asses	3.79
assaulted	assault	4.44
assaulted	assaults	3.48
assaulted	assaulting	3.36
assembly	assemblies	3.48
assess	assessed	3.90
assess	assessing	3.74
assess	assesses	2.93
assessed	assess	4.07
assessed	assessing	3.74
assessed	assesses	2.93
assesses	assess	4.07
assesses	assessed	3.90
assesses	assessing	3.74
assessing	assess	4.07
assessing	assessed	3.90
assessing	assesses	2.93
asset	assets	4.56
assets	asset	4.23
aster	asters	1.93
atmosphere	atmospheres	2.89
atom	atoms	3.75
attended	attend	4.55
attended	attending	4.31
attended	attends	3.49
attending	attend	4.55
attending	attended	4.47
attending	attends	3.49
attending	attendings	1.93
attest	attested	3.16
attest	attests	2.54
attest	attesting	2.38
attested	attest	3.25
attested	attests	2.54
attested	attesting	2.38
attesting	attest	3.25
attesting	attested	3.16
attesting	attests	2.54
attests	attest	3.25
attests	attested	3.16
attests	attesting	2.38
attract	attracted	4.31
attract	attracting	3.69
attract	attracts	3.63
audit	audits	3.29
audit	auditing	3.26
audit	audited	3.13
auras	aura	3.52
auras	aurae	0.00
autonomy	autonomies	1.35
avenue	avenues	3.50
awed	awe	3.80
awed	awes	1.68
awed	aweing	0.00
awes	awe	3.80
awes	awed	2.63
awes	aweing	0.00
axe	axes	3.41
axe	axed	2.82
axe	axing	2.20
aye	ayes	2.25
babied	baby	5.26
babied	babies	4.45
babied	babying	1.89
babies	baby	5.26
babies	babied	2.02
babies	babying	1.89
baby	babies	4.45
baby	babied	2.02
baby	babying	1.89
babying	baby	5.26
babying	babies	4.45
babying	babied	2.02
bade	bid	4.40
bade	bids	3.87
bade	bidding	3.81
bade	bidden	1.84
badge	badges	3.50
badge	badged	2.24
badge	badging	1.95
badged	badge	4.02
badged	badges	3.50
badged	badging	1.95
badges	badge	4.02
badges	badged	2.24
badges	badging	1.95
badging	badge	4.02
badging	badges	3.50
badging	badged	2.24
bag	bags	4.43
bag	bagged	3.18
bag	bagging	3.00
baker	bakers	3.17
bald	balder	2.21
bald	baldest	1.03
balder	bald	3.83
balder	baldest	1.03
baldest	bald	3.83
baldest	balder	2.21
balk	balked	2.53
balk	balks	2.09
balk	balking	1.86
balked	balk	2.72
balked	balks	2.09
balked	balking	1.86
balking	balk	2.72
balking	balked	2.53
balking	balks	2.09
balks	balk	2.72
balks	balked	2.53
balks	balking	1.86
ball	balls	4.52
ball	balling	2.76
ball	balled	2.73
balled	ball	5.04
balled	balls	4.52
balled	balling	2.76
