en	fr	score	tier	gold_en	gold_fr	src_tier
leafy	lissai	0.654	PASS	leafy	lisser	GOLD
leafier	lissai	0.654	PASS	leafy	lisser	GOLD
leafiest	lissai	0.559	PASS	leafy	lisser	GOLD
address	adressée	0.683	PASS	address	adresser	EXPANSION
address	adressées	0.683	PASS	address	adresser	EXPANSION
address	adressés	0.683	PASS	address	adresser	EXPANSION
address	adressera	0.644	PASS	address	adresser	EXPANSION
addressed	adressée	0.644	PASS	address	adresser	EXPANSION
addressed	adressées	0.644	PASS	address	adresser	EXPANSION
addressed	adressés	0.644	PASS	address	adresser	EXPANSION
addressed	adressera	0.608	PASS	address	adresser	EXPANSION
addresses	adressée	0.637	PASS	address	adresser	EXPANSION
addresses	adressées	0.637	PASS	address	adresser	EXPANSION
addresses	adressés	0.637	PASS	address	adresser	EXPANSION
addresses	adressera	0.617	PASS	address	adresser	EXPANSION
addressing	adressée	0.642	PASS	address	adresser	EXPANSION
addressing	adressées	0.642	PASS	address	adresser	EXPANSION
addressing	adressés	0.642	PASS	address	adresser	EXPANSION
addressing	adressera	0.596	PASS	address	adresser	EXPANSION
affecteds	affecte	0.644	PASS	affected	affecte	EXPANSION
affecteds	affecté	0.604	PASS	affected	affecte	EXPANSION
affecteds	affecter	0.604	PASS	affected	affecte	EXPANSION
affecteds	affectent	0.644	PASS	affected	affecte	EXPANSION
affecteds	affectant	0.623	PASS	affected	affecte	EXPANSION
affecteds	affectait	0.604	PASS	affected	affecte	EXPANSION
affecteds	affecta	0.612	PASS	affected	affecte	EXPANSION
affecteds	affectez	0.604	PASS	affected	affecte	EXPANSION
affected	affectera	0.603	PASS	affected	affecter	EXPANSION
affected	affecterait	0.603	PASS	affected	affecter	EXPANSION
affect	affectera	0.627	PASS	affected	affecter	EXPANSION
affect	affecterait	0.627	PASS	affected	affecter	EXPANSION
affects	affectera	0.596	PASS	affected	affecter	EXPANSION
affects	affecterait	0.596	PASS	affected	affecter	EXPANSION
affecting	affectera	0.579	PASS	affected	affecter	EXPANSION
affecting	affecterait	0.605	PASS	affected	affecter	EXPANSION
affecteds	affectés	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectée	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectées	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectera	0.578	PASS	affected	affecter	EXPANSION
affecteds	affecterait	0.570	PASS	affected	affecter	EXPANSION
affecteds	affectaient	0.604	PASS	affected	affecter	EXPANSION
albatross	albatros	0.761	STRICT	albatrosses	albatros	EXPANSION
amazing	amazing	0.724	PASS	amazed	amazing	EXPANSION
annex	annexée	0.686	PASS	annex	annexé	EXPANSION
annex	annexés	0.686	PASS	annex	annexé	EXPANSION
annex	annexées	0.686	PASS	annex	annexé	EXPANSION
annexed	annexée	0.646	PASS	annex	annexé	EXPANSION
annexed	annexés	0.646	PASS	annex	annexé	EXPANSION
annexed	annexées	0.646	PASS	annex	annexé	EXPANSION
annexing	annexée	0.644	PASS	annex	annexé	EXPANSION
annexing	annexés	0.644	PASS	annex	annexé	EXPANSION
annexing	annexées	0.644	PASS	annex	annexé	EXPANSION
annexes	annexée	0.640	PASS	annex	annexé	EXPANSION
annexes	annexés	0.640	PASS	annex	annexé	EXPANSION
annexes	annexées	0.640	PASS	annex	annexé	EXPANSION
annex	annexaient	0.686	PASS	annex	annexer	EXPANSION
annexed	annexaient	0.646	PASS	annex	annexer	EXPANSION
annexing	annexaient	0.653	PASS	annex	annexer	EXPANSION
annexes	annexaient	0.640	PASS	annex	annexer	EXPANSION
annexe	annexe	0.821	STRICT	annexed	annexe	EXPANSION
annexe	annexes	0.821	STRICT	annexed	annexe	EXPANSION
annexe	annexé	0.686	PASS	annexed	annexe	EXPANSION
annexe	annexer	0.686	PASS	annexed	annexe	EXPANSION
annexe	annexant	0.686	PASS	annexed	annexe	EXPANSION
annexe	annexait	0.686	PASS	annexed	annexe	EXPANSION
annexe	annexée	0.686	PASS	annexed	annexer	EXPANSION
annexe	annexés	0.686	PASS	annexed	annexer	EXPANSION
annexe	annexées	0.686	PASS	annexed	annexer	EXPANSION
annexe	annexaient	0.686	PASS	annexed	annexer	EXPANSION
apex	apex	0.784	STRICT	apexes	apex	EXPANSION
approve	approuvée	0.683	PASS	approve	approuvé	EXPANSION
approve	approuvés	0.683	PASS	approve	approuvé	EXPANSION
approve	approuvées	0.683	PASS	approve	approuvé	EXPANSION
approved	approuvée	0.637	PASS	approve	approuvé	EXPANSION
approved	approuvés	0.637	PASS	approve	approuvé	EXPANSION
approved	approuvées	0.637	PASS	approve	approuvé	EXPANSION
approves	approuvée	0.637	PASS	approve	approuvé	EXPANSION
approves	approuvés	0.637	PASS	approve	approuvé	EXPANSION
approves	approuvées	0.637	PASS	approve	approuvé	EXPANSION
approving	approuvée	0.642	PASS	approve	approuvé	EXPANSION
approving	approuvés	0.642	PASS	approve	approuvé	EXPANSION
approving	approuvées	0.642	PASS	approve	approuvé	EXPANSION
approved	approuvera	0.617	PASS	approved	approuver	EXPANSION
approve	approuvera	0.644	PASS	approved	approuver	EXPANSION
approves	approuvera	0.617	PASS	approved	approuver	EXPANSION
approving	approuvera	0.596	PASS	approved	approuver	EXPANSION
attest	attestée	0.683	PASS	attest	attesté	EXPANSION
attest	attestés	0.683	PASS	attest	attesté	EXPANSION
attest	attestées	0.683	PASS	attest	attesté	EXPANSION
attested	attestée	0.637	PASS	attest	attesté	EXPANSION
attested	attestés	0.637	PASS	attest	attesté	EXPANSION
attested	attestées	0.637	PASS	attest	attesté	EXPANSION
attests	attestée	0.644	PASS	attest	attesté	EXPANSION
attests	attestés	0.644	PASS	attest	attesté	EXPANSION
attests	attestées	0.644	PASS	attest	attesté	EXPANSION
attesting	attestée	0.642	PASS	attest	attesté	EXPANSION
attesting	attestés	0.642	PASS	attest	attesté	EXPANSION
attesting	attestées	0.642	PASS	attest	attesté	EXPANSION
attest	atteste	0.818	STRICT	attested	atteste	EXPANSION
attested	attestaient	0.654	PASS	attested	attester	EXPANSION
attest	attestaient	0.703	PASS	attested	attester	EXPANSION
attests	attestaient	0.660	PASS	attested	attester	EXPANSION
attesting	attestaient	0.665	PASS	attested	attester	EXPANSION
barb	barbera	0.577	PASS	barb	barber	EXPANSION
barbed	barbera	0.553	PASS	barb	barber	EXPANSION
barbs	barbera	0.553	PASS	barb	barber	EXPANSION
barbing	barbera	0.529	PASS	barb	barber	EXPANSION
barb	barbante	0.592	PASS	barb	barbant	EXPANSION
barb	barbants	0.634	PASS	barb	barbant	EXPANSION
barb	barbantes	0.592	PASS	barb	barbant	EXPANSION
barbed	barbante	0.604	PASS	barb	barbant	EXPANSION
barbed	barbants	0.607	PASS	barb	barbant	EXPANSION
barbed	barbantes	0.604	PASS	barb	barbant	EXPANSION
barbs	barbante	0.584	PASS	barb	barbant	EXPANSION
barbs	barbants	0.592	PASS	barb	barbant	EXPANSION
barbs	barbantes	0.584	PASS	barb	barbant	EXPANSION
barbing	barbante	0.560	PASS	barb	barbant	EXPANSION
barbing	barbants	0.592	PASS	barb	barbant	EXPANSION
barbing	barbantes	0.560	PASS	barb	barbant	EXPANSION
barb	barbon	0.634	PASS	barb	barbons	EXPANSION
barbed	barbon	0.607	PASS	barb	barbons	EXPANSION
barbs	barbon	0.592	PASS	barb	barbons	EXPANSION
barbing	barbon	0.607	PASS	barb	barbons	EXPANSION
barb	barb	0.793	STRICT	barbed	barb	EXPANSION
barbe	barbera	0.577	PASS	barbe	barber	EXPANSION
barbe	barbons	0.634	PASS	barbe	barber	EXPANSION
barbe	barbés	0.634	PASS	barbe	barber	EXPANSION
barbe	barbaient	0.634	PASS	barbe	barber	EXPANSION
barbes	barbera	0.553	PASS	barbe	barber	EXPANSION
barbes	barbons	0.592	PASS	barbe	barber	EXPANSION
barbes	barbés	0.583	PASS	barbe	barber	EXPANSION
barbes	barbaient	0.583	PASS	barbe	barber	EXPANSION
barbe	barbante	0.592	PASS	barbe	barbant	EXPANSION
barbe	barbants	0.634	PASS	barbe	barbant	EXPANSION
barbe	barbantes	0.592	PASS	barbe	barbant	EXPANSION
barbes	barbante	0.584	PASS	barbe	barbant	EXPANSION
barbes	barbants	0.592	PASS	barbe	barbant	EXPANSION
barbes	barbantes	0.584	PASS	barbe	barbant	EXPANSION
barbie	barbiers	0.626	PASS	barbie	barbier	EXPANSION
bard	bardés	0.634	PASS	bard	bardé	EXPANSION
bard	bardée	0.634	PASS	bard	bardé	EXPANSION
bard	bardées	0.634	PASS	bard	bardé	EXPANSION
bards	bardés	0.583	PASS	bard	bardé	EXPANSION
bards	bardée	0.583	PASS	bard	bardé	EXPANSION
bards	bardées	0.583	PASS	bard	bardé	EXPANSION
barding	bardés	0.594	PASS	bard	bardé	EXPANSION
barding	bardée	0.594	PASS	bard	bardé	EXPANSION
barding	bardées	0.594	PASS	bard	bardé	EXPANSION
barded	bardés	0.583	PASS	bard	bardé	EXPANSION
barded	bardée	0.583	PASS	bard	bardé	EXPANSION
barded	bardées	0.583	PASS	bard	bardé	EXPANSION
bard	bardas	0.634	PASS	bard	barda	EXPANSION
bards	bardas	0.592	PASS	bard	barda	EXPANSION
barding	bardas	0.574	PASS	bard	barda	EXPANSION
barded	bardas	0.592	PASS	bard	barda	EXPANSION
bard	bardaient	0.634	PASS	bard	barder	EXPANSION
bards	bardaient	0.583	PASS	bard	barder	EXPANSION
barding	bardaient	0.604	PASS	bard	barder	EXPANSION
barded	bardaient	0.583	PASS	bard	barder	EXPANSION
barmen	barmen	0.852	STRICT	barman	barmen	EXPANSION
bast	baston	0.628	PASS	bast	bastons	EXPANSION
beatniks	beatniks	0.724	PASS	beatniks	beatnik	EXPANSION
benchmarking	benchmarking	0.726	PASS	benchmark	benchmarking	EXPANSION
blacklist	blacklist	0.764	STRICT	blacklisted	blacklist	EXPANSION
blass	bla	0.655	PASS	blass	blas	EXPANSION
blass	blasé	0.616	PASS	blass	blas	EXPANSION
blass	blasons	0.616	PASS	blass	blas	EXPANSION
blass	blasés	0.616	PASS	blass	blas	EXPANSION
blass	blasée	0.616	PASS	blass	blas	EXPANSION
blass	blase	0.670	PASS	blass	blas	EXPANSION
blass	blaser	0.616	PASS	blass	blas	EXPANSION
blass	blasées	0.616	PASS	blass	blas	EXPANSION
blass	blases	0.670	PASS	blass	blas	EXPANSION
blitz	blitz	0.823	STRICT	blitzed	blitz	EXPANSION
bluff	bluffante	0.584	PASS	bluff	bluffant	EXPANSION
bluffs	bluffante	0.587	PASS	bluff	bluffant	EXPANSION
bluffing	bluffante	0.553	PASS	bluff	bluffant	EXPANSION
bluffed	bluffante	0.683	PASS	bluff	bluffant	EXPANSION
bolt	bolt	0.760	STRICT	bolted	bolt	EXPANSION
bootlegs	bootlegs	0.724	PASS	bootleg	bootlegs	EXPANSION
brad	braderai	0.587	PASS	brad	brader	EXPANSION
brad	braderait	0.587	PASS	brad	brader	EXPANSION
braque	braqués	0.628	PASS	braque	braquer	EXPANSION
braque	braquée	0.628	PASS	braque	braquer	EXPANSION
braque	braquées	0.628	PASS	braque	braquer	EXPANSION
braque	braquaient	0.628	PASS	braque	braquer	EXPANSION
braque	braquai	0.628	PASS	braque	braquer	EXPANSION
brasse	brassée	0.628	PASS	brasse	brasser	EXPANSION
brasse	brassées	0.628	PASS	brasse	brasser	EXPANSION
brasse	brassés	0.628	PASS	brasse	brasser	EXPANSION
brasse	brassaient	0.628	PASS	brasse	brasser	EXPANSION
brasse	brassai	0.628	PASS	brasse	brasser	EXPANSION
bret	breton	0.628	PASS	bret	bretons	EXPANSION
brick	briquée	0.630	PASS	brick	briquer	EXPANSION
brick	briquées	0.630	PASS	brick	briquer	EXPANSION
brick	briquaient	0.630	PASS	brick	briquer	EXPANSION
brick	briqués	0.630	PASS	brick	briquer	EXPANSION
bricks	briquée	0.588	PASS	brick	briquer	EXPANSION
bricks	briquées	0.588	PASS	brick	briquer	EXPANSION
bricks	briquaient	0.588	PASS	brick	briquer	EXPANSION
bricks	briqués	0.588	PASS	brick	briquer	EXPANSION
bricked	briquée	0.588	PASS	brick	briquer	EXPANSION
bricked	briquées	0.588	PASS	brick	briquer	EXPANSION
bricked	briquaient	0.588	PASS	brick	briquer	EXPANSION
bricked	briqués	0.588	PASS	brick	briquer	EXPANSION
bricking	briquée	0.591	PASS	brick	briquer	EXPANSION
bricking	briquées	0.591	PASS	brick	briquer	EXPANSION
bricking	briquaient	0.601	PASS	brick	briquer	EXPANSION
bricking	briqués	0.591	PASS	brick	briquer	EXPANSION
brid	bridon	0.630	PASS	brid	bridons	EXPANSION
bridge	bridgées	0.687	PASS	bridge	bridger	EXPANSION
bridges	bridgées	0.641	PASS	bridge	bridger	EXPANSION
bridging	bridgées	0.646	PASS	bridge	bridger	EXPANSION
bridged	bridgées	0.641	PASS	bridge	bridger	EXPANSION
briefings	bref	0.568	PASS	briefing	bref	EXPANSION
briefings	brefs	0.568	PASS	briefing	bref	EXPANSION
browning	browning	0.724	PASS	browning	brownings	EXPANSION
brule	brule	0.785	STRICT	brule	bruler	EXPANSION
brule	brulée	0.628	PASS	brule	bruler	EXPANSION
brule	brulés	0.628	PASS	brule	bruler	EXPANSION
brule	brulées	0.628	PASS	brule	bruler	EXPANSION
brusque	brusquée	0.656	PASS	brusque	brusquer	EXPANSION
brusque	brusquai	0.656	PASS	brusque	brusquer	EXPANSION
brusque	brusqueraient	0.606	PASS	brusque	brusquer	EXPANSION
brusque	brusquerai	0.606	PASS	brusque	brusquer	EXPANSION
brusqueer	brusquée	0.607	PASS	brusque	brusquer	EXPANSION
brusqueer	brusquai	0.607	PASS	brusque	brusquer	EXPANSION
brusqueer	brusqueraient	0.600	PASS	brusque	brusquer	EXPANSION
brusqueer	brusquerai	0.600	PASS	brusque	brusquer	EXPANSION
brusqueest	brusquée	0.588	PASS	brusque	brusquer	EXPANSION
brusqueest	brusquai	0.588	PASS	brusque	brusquer	EXPANSION
brusqueest	brusqueraient	0.544	PASS	brusque	brusquer	EXPANSION
brusqueest	brusquerai	0.550	PASS	brusque	brusquer	EXPANSION
bss	b	0.463	PASS	bss	bs	EXPANSION
bss	bsa	0.465	PASS	bss	bs	EXPANSION
budgie	budgie	0.786	STRICT	budgies	budgie	EXPANSION
butch	butch	0.755	STRICT	butches	butch	EXPANSION
butchery	boucherie	0.764	STRICT	butchery	boucheries	EXPANSION
bête	bêtas	0.616	PASS	bête	bêta	EXPANSION
cameramen	cameramen	0.772	STRICT	cameraman	cameramen	EXPANSION
capri	capri	0.818	STRICT	capris	capri	EXPANSION
caprice	capricants	0.604	PASS	caprice	capricant	EXPANSION
caprices	capricants	0.577	PASS	caprice	capricant	EXPANSION
caress	caressée	0.680	PASS	caress	caressé	EXPANSION
caress	caressés	0.680	PASS	caress	caressé	EXPANSION
caress	caressées	0.680	PASS	caress	caressé	EXPANSION
caressing	caressée	0.637	PASS	caress	caressé	EXPANSION
caressing	caressés	0.637	PASS	caress	caressé	EXPANSION
caressing	caressées	0.637	PASS	caress	caressé	EXPANSION
caresses	caressée	0.631	PASS	caress	caressé	EXPANSION
caresses	caressés	0.631	PASS	caress	caressé	EXPANSION
caresses	caressées	0.631	PASS	caress	caressé	EXPANSION
caressed	caressée	0.641	PASS	caress	caressé	EXPANSION
caressed	caressés	0.641	PASS	caress	caressé	EXPANSION
caressed	caressées	0.641	PASS	caress	caressé	EXPANSION
caressing	caressaient	0.646	PASS	caressing	caresser	EXPANSION
caress	caressaient	0.680	PASS	caressing	caresser	EXPANSION
caresses	caressaient	0.631	PASS	caressing	caresser	EXPANSION
caressed	caressaient	0.641	PASS	caressing	caresser	EXPANSION
carme	carmée	0.634	PASS	carme	carmé	EXPANSION
carne	carnés	0.634	PASS	carne	carné	EXPANSION
carne	carnée	0.634	PASS	carne	carné	EXPANSION
carne	carnées	0.634	PASS	carne	carné	EXPANSION
centaur	centaure	0.773	STRICT	centaur	centaures	EXPANSION
chancellery	chancellerie	0.746	PASS	chancellery	chancelleries	EXPANSION
clap	clap	0.785	STRICT	clapped	clap	EXPANSION
class	classés	0.628	PASS	class	classé	EXPANSION
class	classée	0.628	PASS	class	classé	EXPANSION
class	classées	0.628	PASS	class	classé	EXPANSION
classes	classés	0.577	PASS	class	classé	EXPANSION
classes	classée	0.577	PASS	class	classé	EXPANSION
classes	classées	0.577	PASS	class	classé	EXPANSION
classed	classés	0.587	PASS	class	classé	EXPANSION
classed	classée	0.587	PASS	class	classé	EXPANSION
classed	classées	0.587	PASS	class	classé	EXPANSION
classing	classés	0.589	PASS	class	classé	EXPANSION
classing	classée	0.589	PASS	class	classé	EXPANSION
classing	classées	0.589	PASS	class	classé	EXPANSION
class	classera	0.587	PASS	class	classer	EXPANSION
class	classaient	0.628	PASS	class	classer	EXPANSION
classes	classera	0.559	PASS	class	classer	EXPANSION
classes	classaient	0.577	PASS	class	classer	EXPANSION
classed	classera	0.549	PASS	class	classer	EXPANSION
classed	classaient	0.587	PASS	class	classer	EXPANSION
classing	classera	0.540	PASS	class	classer	EXPANSION
classing	classaient	0.599	PASS	class	classer	EXPANSION
clauss	clause	0.673	PASS	clauss	claus	EXPANSION
clauss	clauses	0.673	PASS	clauss	claus	EXPANSION
clear	clairon	0.628	PASS	clear	clairons	EXPANSION
cleared	clairon	0.602	PASS	clear	clairons	EXPANSION
clearing	clairon	0.602	PASS	clear	clairons	EXPANSION
clearer	clairon	0.628	PASS	clear	clairons	EXPANSION
clears	clairon	0.587	PASS	clear	clairons	EXPANSION
clearest	clairon	0.553	PASS	clear	clairons	EXPANSION
clearings	clair	0.577	PASS	clearing	clair	EXPANSION
clearings	claire	0.577	PASS	clearing	clair	EXPANSION
clearings	claires	0.577	PASS	clearing	clair	EXPANSION
clearings	clairs	0.577	PASS	clearing	clair	EXPANSION
clearings	clairons	0.568	PASS	clearing	clair	EXPANSION
clearings	clairon	0.568	PASS	clearing	clairons	EXPANSION
clem	clemente	0.587	PASS	clem	clement	EXPANSION
clem	clements	0.628	PASS	clem	clement	EXPANSION
cleve	cleve	0.755	STRICT	cleve	clever	EXPANSION
clippings	clip	0.578	PASS	clipping	clip	EXPANSION
clippings	clips	0.578	PASS	clipping	clip	EXPANSION
clonings	cloné	0.625	PASS	cloning	cloné	EXPANSION
clonings	clonés	0.625	PASS	cloning	cloné	EXPANSION
clonings	clonent	0.647	PASS	cloning	clonent	EXPANSION
coast	côtés	0.602	PASS	coast	côté	EXPANSION
coasts	côtés	0.568	PASS	coast	côté	EXPANSION
coasting	côtés	0.568	PASS	coast	côté	EXPANSION
coasted	côtés	0.557	PASS	coast	côté	EXPANSION
compress	compressée	0.698	PASS	compress	compressé	EXPANSION
compress	compressés	0.698	PASS	compress	compressé	EXPANSION
compress	compressées	0.698	PASS	compress	compressé	EXPANSION
compressed	compressée	0.665	PASS	compress	compressé	EXPANSION
compressed	compressés	0.665	PASS	compress	compressé	EXPANSION
compressed	compressées	0.665	PASS	compress	compressé	EXPANSION
compressing	compressée	0.663	PASS	compress	compressé	EXPANSION
compressing	compressés	0.663	PASS	compress	compressé	EXPANSION
compressing	compressées	0.663	PASS	compress	compressé	EXPANSION
compresses	compressée	0.661	PASS	compress	compressé	EXPANSION
compresses	compressés	0.661	PASS	compress	compressé	EXPANSION
compresses	compressées	0.661	PASS	compress	compressé	EXPANSION
confess	confessée	0.676	PASS	confess	confessé	EXPANSION
confess	confessés	0.676	PASS	confess	confessé	EXPANSION
confessed	confessée	0.640	PASS	confess	confessé	EXPANSION
confessed	confessés	0.640	PASS	confess	confessé	EXPANSION
confesses	confessée	0.636	PASS	confess	confessé	EXPANSION
confesses	confessés	0.636	PASS	confess	confessé	EXPANSION
confessing	confessée	0.639	PASS	confess	confessé	EXPANSION
confessing	confessés	0.639	PASS	confess	confessé	EXPANSION
confess	confesse	0.798	STRICT	confessed	confesse	EXPANSION
confessed	confesserai	0.609	PASS	confessed	confesser	EXPANSION
confessed	confessaient	0.640	PASS	confessed	confesser	EXPANSION
confessed	confesserait	0.609	PASS	confessed	confesser	EXPANSION
confessed	confessai	0.640	PASS	confessed	confesser	EXPANSION
confess	confesserai	0.640	PASS	confessed	confesser	EXPANSION
confess	confessaient	0.676	PASS	confessed	confesser	EXPANSION
confess	confesserait	0.640	PASS	confessed	confesser	EXPANSION
confess	confessai	0.676	PASS	confessed	confesser	EXPANSION
confesses	confesserai	0.617	PASS	confessed	confesser	EXPANSION
confesses	confessaient	0.636	PASS	confessed	confesser	EXPANSION
confesses	confesserait	0.617	PASS	confessed	confesser	EXPANSION
confesses	confessai	0.636	PASS	confessed	confesser	EXPANSION
confessing	confesserai	0.610	PASS	confessed	confesser	EXPANSION
confessing	confessaient	0.646	PASS	confessed	confesser	EXPANSION
confessing	confesserait	0.617	PASS	confessed	confesser	EXPANSION
confessing	confessai	0.639	PASS	confessed	confesser	EXPANSION
cordial	cordial	0.762	STRICT	cordials	cordial	EXPANSION
couture	couturés	0.666	PASS	couture	couturé	EXPANSION
couture	couturée	0.666	PASS	couture	couturé	EXPANSION
couture	couturées	0.666	PASS	couture	couturé	EXPANSION
crag	crag	0.785	STRICT	crags	crag	EXPANSION
cram	crameraient	0.587	PASS	cram	cramer	EXPANSION
crammed	crameraient	0.559	PASS	cram	cramer	EXPANSION
cramming	crameraient	0.566	PASS	cram	cramer	EXPANSION
crams	crameraient	0.559	PASS	cram	cramer	EXPANSION
cram	cram	0.785	STRICT	crammed	cram	EXPANSION
cream	cream	0.787	STRICT	creamed	cream	EXPANSION
creme	creme	0.755	STRICT	creme	cremer	EXPANSION
crepe	crêpés	0.615	PASS	crepe	crêper	EXPANSION
crepe	crêpaient	0.615	PASS	crepe	crêper	EXPANSION
crepe	crêpée	0.615	PASS	crepe	crêper	EXPANSION
crepes	crêpés	0.578	PASS	crepe	crêper	EXPANSION
crepes	crêpaient	0.578	PASS	crepe	crêper	EXPANSION
crepes	crêpée	0.578	PASS	crepe	crêper	EXPANSION
creped	crêpés	0.578	PASS	crepe	crêper	EXPANSION
creped	crêpaient	0.578	PASS	crepe	crêper	EXPANSION
creped	crêpée	0.578	PASS	crepe	crêper	EXPANSION
creping	crêpés	0.580	PASS	crepe	crêper	EXPANSION
creping	crêpaient	0.590	PASS	crepe	crêper	EXPANSION
creping	crêpée	0.580	PASS	crepe	crêper	EXPANSION
crescent	crescent	0.734	PASS	crescents	crescent	EXPANSION
crest	crêtée	0.680	PASS	crest	crêté	EXPANSION
crest	crêtés	0.680	PASS	crest	crêté	EXPANSION
crest	crêtées	0.680	PASS	crest	crêté	EXPANSION
crested	crêtée	0.631	PASS	crest	crêté	EXPANSION
crested	crêtés	0.631	PASS	crest	crêté	EXPANSION
crested	crêtées	0.631	PASS	crest	crêté	EXPANSION
crests	crêtée	0.641	PASS	crest	crêté	EXPANSION
crests	crêtés	0.641	PASS	crest	crêté	EXPANSION
crests	crêtées	0.641	PASS	crest	crêté	EXPANSION
cresting	crêtée	0.637	PASS	crest	crêté	EXPANSION
cresting	crêtés	0.637	PASS	crest	crêté	EXPANSION
cresting	crêtées	0.637	PASS	crest	crêté	EXPANSION
crick	crick	0.787	STRICT	cricks	crick	EXPANSION
criss	crise	0.673	PASS	criss	cris	EXPANSION
criss	cri	0.657	PASS	criss	cris	EXPANSION
criss	crises	0.673	PASS	criss	cris	EXPANSION
criss	criss	0.787	STRICT	criss	cris	EXPANSION
criss	criser	0.618	PASS	criss	cris	EXPANSION
crone	crone	0.760	STRICT	crones	crone	EXPANSION
crypt	cryptée	0.687	PASS	crypt	crypté	EXPANSION
crypt	cryptés	0.687	PASS	crypt	crypté	EXPANSION
crypt	cryptées	0.687	PASS	crypt	crypté	EXPANSION
crypts	cryptée	0.647	PASS	crypt	crypté	EXPANSION
crypts	cryptés	0.647	PASS	crypt	crypté	EXPANSION
crypts	cryptées	0.647	PASS	crypt	crypté	EXPANSION
crêpe	crêpés	0.680	PASS	crêpe	crêper	EXPANSION
crêpe	crêpaient	0.680	PASS	crêpe	crêper	EXPANSION
crêpe	crêpée	0.680	PASS	crêpe	crêper	EXPANSION
crête	crêtée	0.680	PASS	crête	crêté	EXPANSION
crête	crêtés	0.680	PASS	crête	crêté	EXPANSION
crête	crêtées	0.680	PASS	crête	crêté	EXPANSION
css	c	0.463	PASS	css	cs	EXPANSION
daylights	daylights	0.748	PASS	daylight	daylights	EXPANSION
dict	dictera	0.574	PASS	dict	dicter	EXPANSION
dict	dicton	0.630	PASS	dict	dictons	EXPANSION
dist	distante	0.672	PASS	dist	distant	EXPANSION
dist	distants	0.630	PASS	dist	distant	EXPANSION
dist	distantes	0.672	PASS	dist	distant	EXPANSION
domestic	domestiqués	0.668	PASS	domestic	domestiqué	EXPANSION
domestic	domestiquée	0.668	PASS	domestic	domestiqué	EXPANSION
domestic	domestiquées	0.668	PASS	domestic	domestiqué	EXPANSION
domestics	domestiqués	0.641	PASS	domestic	domestiqué	EXPANSION
domestics	domestiquée	0.641	PASS	domestic	domestiqué	EXPANSION
domestics	domestiquées	0.641	PASS	domestic	domestiqué	EXPANSION
domestique	domestiqués	0.667	PASS	domestique	domestiqué	EXPANSION
domestique	domestiquée	0.667	PASS	domestique	domestiqué	EXPANSION
domestique	domestiquées	0.667	PASS	domestique	domestiqué	EXPANSION
domini	dominion	0.639	PASS	domini	dominions	EXPANSION
dori	dori	0.787	STRICT	dori	doris	EXPANSION
dosings	doses	0.673	PASS	dosing	doses	EXPANSION
dosings	dose	0.582	PASS	dosing	doses	EXPANSION
draft	draft	0.821	STRICT	drafted	draft	EXPANSION
drag	dragon	0.628	PASS	drag	dragons	EXPANSION
dragged	dragon	0.602	PASS	drag	dragons	EXPANSION
dragging	dragon	0.602	PASS	drag	dragons	EXPANSION
drags	dragon	0.587	PASS	drag	dragons	EXPANSION
drug	drogués	0.628	PASS	drug	drogué	EXPANSION
drug	droguée	0.628	PASS	drug	drogué	EXPANSION
drug	droguées	0.628	PASS	drug	drogué	EXPANSION
drugs	drogués	0.577	PASS	drug	drogué	EXPANSION
drugs	droguée	0.577	PASS	drug	drogué	EXPANSION
drugs	droguées	0.577	PASS	drug	drogué	EXPANSION
drugged	drogués	0.577	PASS	drug	drogué	EXPANSION
drugged	droguée	0.577	PASS	drug	drogué	EXPANSION
drugged	droguées	0.577	PASS	drug	drogué	EXPANSION
drugging	drogués	0.589	PASS	drug	drogué	EXPANSION
drugging	droguée	0.589	PASS	drug	drogué	EXPANSION
drugging	droguées	0.589	PASS	drug	drogué	EXPANSION
drug	droguaient	0.628	PASS	drug	droguer	EXPANSION
drugs	droguaient	0.577	PASS	drug	droguer	EXPANSION
drugged	droguaient	0.577	PASS	drug	droguer	EXPANSION
drugging	droguaient	0.599	PASS	drug	droguer	EXPANSION
dss	d	0.463	PASS	dss	ds	EXPANSION
dss	dsa	0.465	PASS	dss	ds	EXPANSION
dss	dss	0.823	STRICT	dss	ds	EXPANSION
dss	dse	0.582	PASS	dss	ds	EXPANSION
epilepsy	épilepsie	0.782	STRICT	epilepsies	épilepsie	EXPANSION
escape	escape	0.784	STRICT	escaped	escape	EXPANSION
escort	escorteraient	0.796	STRICT	escort	escorter	EXPANSION
escorted	escorteraient	0.701	PASS	escort	escorter	EXPANSION
escorts	escorteraient	0.760	STRICT	escort	escorter	EXPANSION
escorting	escorteraient	0.706	PASS	escort	escorter	EXPANSION
excite	excitée	0.650	PASS	excite	excité	EXPANSION
excite	excités	0.650	PASS	excite	excité	EXPANSION
excite	excitées	0.650	PASS	excite	excité	EXPANSION
excited	excitée	0.610	PASS	excite	excité	EXPANSION
excited	excités	0.610	PASS	excite	excité	EXPANSION
excited	excitées	0.610	PASS	excite	excité	EXPANSION
exciting	excitée	0.572	PASS	excite	excité	EXPANSION
exciting	excités	0.572	PASS	excite	excité	EXPANSION
